Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
8/1/2018,0:00,-0.12,-,0.3
8/1/2018,1:00,-0.876,-,-0.49
8/1/2018,2:00,-1.467,-,-1.09
8/1/2018,3:00,-1.775,-,-1.17
8/1/2018,4:00,-1.679,-,-1.01
8/1/2018,5:00,-1.169,-,-0.42
8/1/2018,6:00,-0.422,-,0.34
8/1/2018,7:00,0.341,-,1.07
8/1/2018,8:00,0.963,-,1.57
8/1/2018,9:00,1.324,-,1.85
8/1/2018,10:00,1.349,-,1.64
8/1/2018,11:00,1.056,-,1.33
8/1/2018,12:00,0.538,-,0.92
8/1/2018,13:00,-0.056,-,0.34
8/1/2018,14:00,-0.573,-,0.02
8/1/2018,15:00,-0.901,-,-0.09
8/1/2018,16:00,-0.919,-,0.28
8/1/2018,17:00,-0.556,-,0.73
8/1/2018,18:00,0.074,-,1.4
8/1/2018,19:00,0.737,-,1.99
8/1/2018,20:00,1.257,-,2.17
8/1/2018,21:00,1.523,-,2.15
8/1/2018,22:00,1.449,-,1.77
8/1/2018,23:00,1.034,-,1.21
8/2/2018,0:00,0.371,-,0.52
8/2/2018,1:00,-0.381,-,-0.05
8/2/2018,2:00,-1.047,-,-0.68
8/2/2018,3:00,-1.502,-,-0.99
8/2/2018,4:00,-1.638,-,-0.85
8/2/2018,5:00,-1.359,-,-0.4
8/2/2018,6:00,-0.715,-,0.24
8/2/2018,7:00,0.066,-,1
8/2/2018,8:00,0.771,-,1.53
8/2/2018,9:00,1.276,-,1.88
8/2/2018,10:00,1.481,-,2
8/2/2018,11:00,1.338,-,1.61
8/2/2018,12:00,0.897,-,1.18
8/2/2018,13:00,0.291,-,0.67
8/2/2018,14:00,-0.319,-,0.07
8/2/2018,15:00,-0.8,-,-0.37
8/2/2018,16:00,-1.057,-,-0.46
8/2/2018,17:00,-0.979,-,-0.15
8/2/2018,18:00,-0.539,-,0.36
8/2/2018,19:00,0.1,-,1.11
8/2/2018,20:00,0.715,-,1.81
8/2/2018,21:00,1.17,-,2.18
8/2/2018,22:00,1.371,-,2.47
8/2/2018,23:00,1.239,-,1.66
8/3/2018,0:00,0.792,-,1.16
8/3/2018,1:00,0.15,-,0.57
8/3/2018,2:00,-0.525,-,-0.14
8/3/2018,3:00,-1.076,-,-0.61
8/3/2018,4:00,-1.394,-,-0.78
8/3/2018,5:00,-1.379,-,-0.46
8/3/2018,6:00,-0.966,-,-0.01
8/3/2018,7:00,-0.263,-,0.55
8/3/2018,8:00,0.489,-,1.35
8/3/2018,9:00,1.111,-,1.76
8/3/2018,10:00,1.498,-,2.21
8/3/2018,11:00,1.559,-,2.1
8/3/2018,12:00,1.273,-,1.66
8/3/2018,13:00,0.733,-,1.18
8/3/2018,14:00,0.085,-,0.59
8/3/2018,15:00,-0.522,-,0.01
8/3/2018,16:00,-0.974,-,-0.45
8/3/2018,17:00,-1.179,-,-0.65
8/3/2018,18:00,-1.048,-,-0.25
8/3/2018,19:00,-0.594,-,0.26
8/3/2018,20:00,0.007,-,0.82
8/3/2018,21:00,0.57,-,1.38
8/3/2018,22:00,0.988,-,1.68
8/3/2018,23:00,1.16,-,1.7
8/4/2018,0:00,1.02,-,1.5
8/4/2018,1:00,0.609,-,1
8/4/2018,2:00,0.046,-,0.34
8/4/2018,3:00,-0.523,-,-0.14
8/4/2018,4:00,-0.96,-,-0.66
8/4/2018,5:00,-1.163,-,-0.72
8/4/2018,6:00,-1.043,-,-0.44
8/4/2018,7:00,-0.57,-,0.06
8/4/2018,8:00,0.122,-,0.72
8/4/2018,9:00,0.813,-,1.38
8/4/2018,10:00,1.352,-,1.85
8/4/2018,11:00,1.635,-,1.97
8/4/2018,12:00,1.582,-,1.85
8/4/2018,13:00,1.208,-,1.48
8/4/2018,14:00,0.619,-,0.99
8/4/2018,15:00,-0.049,-,0.36
8/4/2018,16:00,-0.657,-,-0.27
8/4/2018,17:00,-1.099,-,-0.82
8/4/2018,18:00,-1.296,-,-0.97
8/4/2018,19:00,-1.175,-,-0.75
8/4/2018,20:00,-0.761,-,-0.26
8/4/2018,21:00,-0.21,-,0.35
8/4/2018,22:00,0.323,-,0.97
8/4/2018,23:00,0.738,-,1.48
8/5/2018,0:00,0.933,-,1.57
8/5/2018,1:00,0.853,-,1.44
8/5/2018,2:00,0.536,-,1.18
8/5/2018,3:00,0.079,-,0.69
8/5/2018,4:00,-0.387,-,0.21
8/5/2018,5:00,-0.73,-,-0.06
8/5/2018,6:00,-0.863,-,-0.29
8/5/2018,7:00,-0.708,-,-0.02
8/5/2018,8:00,-0.243,-,0.36
8/5/2018,9:00,0.404,-,0.87
8/5/2018,10:00,1.034,-,1.37
8/5/2018,11:00,1.504,-,1.79
8/5/2018,12:00,1.716,-,1.94
8/5/2018,13:00,1.606,-,1.83
8/5/2018,14:00,1.196,-,1.39
8/5/2018,15:00,0.582,-,0.96
8/5/2018,16:00,-0.106,-,0.25
8/5/2018,17:00,-0.731,-,-0.48
8/5/2018,18:00,-1.204,-,-1.05
8/5/2018,19:00,-1.452,-,-1.28
8/5/2018,20:00,-1.393,-,-1.11
8/5/2018,21:00,-1.036,-,-0.82
8/5/2018,22:00,-0.522,-,-0.28
8/5/2018,23:00,0.014,-,0.38
8/6/2018,0:00,0.473,-,0.82
8/6/2018,1:00,0.753,-,1.16
8/6/2018,2:00,0.785,-,1.45
8/6/2018,3:00,0.582,-,1.47
8/6/2018,4:00,0.224,-,0.91
8/6/2018,5:00,-0.158,-,0.37
8/6/2018,6:00,-0.451,-,0.05
8/6/2018,7:00,-0.578,-,-0.22
8/6/2018,8:00,-0.448,-,-0.05
8/6/2018,9:00,-0.021,-,0.27
8/6/2018,10:00,0.579,-,0.76
8/6/2018,11:00,1.161,-,1.38
8/6/2018,12:00,1.599,-,1.86
8/6/2018,13:00,1.796,-,2.02
8/6/2018,14:00,1.679,-,2.01
