Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
10/1/2018,0:00,0.936,-,1.05
10/1/2018,1:00,0.507,-,0.61
10/1/2018,2:00,0.027,-,0.07
10/1/2018,3:00,-0.367,-,-0.4
10/1/2018,4:00,-0.574,-,-0.58
10/1/2018,5:00,-0.492,-,-0.4
10/1/2018,6:00,-0.057,-,-0.01
10/1/2018,7:00,0.614,-,0.56
10/1/2018,8:00,1.274,-,1.12
10/1/2018,9:00,1.741,-,1.54
10/1/2018,10:00,1.918,-,1.7
10/1/2018,11:00,1.733,-,1.48
10/1/2018,12:00,1.207,-,0.97
10/1/2018,13:00,0.465,-,0.42
10/1/2018,14:00,-0.329,-,-0.22
10/1/2018,15:00,-1.034,-,-0.88
10/1/2018,16:00,-1.554,-,-1.44
10/1/2018,17:00,-1.813,-,-1.75
10/1/2018,18:00,-1.722,-,-1.61
10/1/2018,19:00,-1.287,-,-1.12
10/1/2018,20:00,-0.67,-,-0.53
10/1/2018,21:00,-0.038,-,0.14
10/1/2018,22:00,0.509,-,0.64
10/1/2018,23:00,0.863,-,0.88
10/2/2018,0:00,0.945,-,0.89
10/2/2018,1:00,0.777,-,0.76
10/2/2018,2:00,0.452,-,0.43
10/2/2018,3:00,0.085,-,0.09
10/2/2018,4:00,-0.215,-,-0.24
10/2/2018,5:00,-0.357,-,-0.27
10/2/2018,6:00,-0.249,-,-0.22
10/2/2018,7:00,0.154,-,0.2
10/2/2018,8:00,0.731,-,0.65
10/2/2018,9:00,1.281,-,1.21
10/2/2018,10:00,1.666,-,1.59
10/2/2018,11:00,1.792,-,1.73
10/2/2018,12:00,1.596,-,1.59
10/2/2018,13:00,1.109,-,1.2
10/2/2018,14:00,0.447,-,0.64
10/2/2018,15:00,-0.264,-,-0.01
10/2/2018,16:00,-0.906,-,-0.72
10/2/2018,17:00,-1.401,-,-1.35
10/2/2018,18:00,-1.676,-,-1.73
10/2/2018,19:00,-1.647,-,-1.72
10/2/2018,20:00,-1.316,-,-1.2
10/2/2018,21:00,-0.807,-,-0.73
10/2/2018,22:00,-0.244,-,-0.22
10/2/2018,23:00,0.28,-,0.43
10/3/2018,0:00,0.654,-,0.86
10/3/2018,1:00,0.804,-,1.12
10/3/2018,2:00,0.738,-,1.14
10/3/2018,3:00,0.514,-,0.93
10/3/2018,4:00,0.223,-,0.59
10/3/2018,5:00,-0.038,-,0.3
10/3/2018,6:00,-0.189,-,0.1
10/3/2018,7:00,-0.138,-,0.09
10/3/2018,8:00,0.17,-,0.33
10/3/2018,9:00,0.643,-,0.78
10/3/2018,10:00,1.118,-,1.29
10/3/2018,11:00,1.48,-,1.73
10/3/2018,12:00,1.634,-,1.91
10/3/2018,13:00,1.515,-,1.84
10/3/2018,14:00,1.139,-,1.48
10/3/2018,15:00,0.582,-,0.95
10/3/2018,16:00,-0.055,-,0.3
10/3/2018,17:00,-0.669,-,-0.42
10/3/2018,18:00,-1.194,-,-1.04
10/3/2018,19:00,-1.553,-,-1.41
10/3/2018,20:00,-1.637,-,-1.39
10/3/2018,21:00,-1.417,-,-1.11
10/3/2018,22:00,-0.988,-,-0.55
10/3/2018,23:00,-0.453,-,0.17
10/4/2018,0:00,0.1,-,0.67
10/4/2018,1:00,0.549,-,1.13
10/4/2018,2:00,0.798,-,1.35
10/4/2018,3:00,0.821,-,1.27
10/4/2018,4:00,0.653,-,0.97
10/4/2018,5:00,0.38,-,0.65
10/4/2018,6:00,0.086,-,0.28
10/4/2018,7:00,-0.154,-,0
10/4/2018,8:00,-0.217,-,-0.14
10/4/2018,9:00,-0.014,-,0.08
10/4/2018,10:00,0.385,-,0.44
10/4/2018,11:00,0.841,-,0.99
10/4/2018,12:00,1.251,-,1.56
10/4/2018,13:00,1.516,-,1.99
10/4/2018,14:00,1.537,-,2.14
10/4/2018,15:00,1.291,-,1.9
10/4/2018,16:00,0.825,-,1.39
10/4/2018,17:00,0.23,-,0.73
10/4/2018,18:00,-0.403,-,0
10/4/2018,19:00,-1.015,-,-0.71
10/4/2018,20:00,-1.495,-,-1.36
10/4/2018,21:00,-1.686,-,-1.67
10/4/2018,22:00,-1.541,-,-1.45
10/4/2018,23:00,-1.145,-,-1.03
10/5/2018,0:00,-0.58,-,-0.41
10/5/2018,1:00,0.054,-,0.4
10/5/2018,2:00,0.601,-,1.11
10/5/2018,3:00,0.926,-,1.52
10/5/2018,4:00,0.984,-,1.53
