Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
2/1/2019,0:00,-0.332,-,0.13
2/1/2019,1:00,0.112,-,0.52
2/1/2019,2:00,0.558,-,0.76
2/1/2019,3:00,0.842,-,0.79
2/1/2019,4:00,0.86,-,0.56
2/1/2019,5:00,0.608,-,0.2
2/1/2019,6:00,0.136,-,-0.18
2/1/2019,7:00,-0.497,-,-0.8
2/1/2019,8:00,-1.245,-,-1.31
2/1/2019,9:00,-1.994,-,-1.78
2/1/2019,10:00,-2.551,-,-2.12
2/1/2019,11:00,-2.791,-,-2.18
2/1/2019,12:00,-2.698,-,-1.87
2/1/2019,13:00,-2.279,-,-1.49
2/1/2019,14:00,-1.6,-,-0.87
2/1/2019,15:00,-0.853,-,-0.28
2/1/2019,16:00,-0.242,-,0.34
2/1/2019,17:00,0.122,-,0.7
2/1/2019,18:00,0.218,-,0.83
2/1/2019,19:00,0.08,-,0.62
2/1/2019,20:00,-0.232,-,0.38
2/1/2019,21:00,-0.622,-,0.17
2/1/2019,22:00,-0.914,-,-0.06
2/1/2019,23:00,-0.961,-,-0.09
2/2/2019,0:00,-0.756,-,0.06
2/2/2019,1:00,-0.353,-,0.47
2/2/2019,2:00,0.174,-,0.96
2/2/2019,3:00,0.672,-,1.46
2/2/2019,4:00,0.955,-,1.76
2/2/2019,5:00,0.936,-,1.57
2/2/2019,6:00,0.621,-,1.16
2/2/2019,7:00,0.065,-,0.52
2/2/2019,8:00,-0.664,-,-0.23
2/2/2019,9:00,-1.484,-,-1.04
2/2/2019,10:00,-2.252,-,-1.76
2/2/2019,11:00,-2.77,-,-2.18
2/2/2019,12:00,-2.924,-,-2.23
2/2/2019,13:00,-2.701,-,-1.9
2/2/2019,14:00,-2.129,-,-1.33
2/2/2019,15:00,-1.334,-,-0.53
2/2/2019,16:00,-0.543,-,0.18
2/2/2019,17:00,0.048,-,0.8
2/2/2019,18:00,0.342,-,1.16
2/2/2019,19:00,0.331,-,1.21
2/2/2019,20:00,0.07,-,0.85
2/2/2019,21:00,-0.348,-,0.37
2/2/2019,22:00,-0.798,-,-0.07
2/2/2019,23:00,-1.093,-,-0.4
2/3/2019,0:00,-1.093,-,-0.5
2/3/2019,1:00,-0.8,-,-0.17
2/3/2019,2:00,-0.292,-,0.44
2/3/2019,3:00,0.311,-,1.15
2/3/2019,4:00,0.82,-,1.81
2/3/2019,5:00,1.058,-,2.21
2/3/2019,6:00,0.956,-,2.03
2/3/2019,7:00,0.533,-,1.54
2/3/2019,8:00,-0.131,-,0.75
2/3/2019,9:00,-0.938,-,-0.11
2/3/2019,10:00,-1.787,-,-0.96
2/3/2019,11:00,-2.517,-,-1.68
2/3/2019,12:00,-2.927,-,-2.13
2/3/2019,13:00,-2.921,-,-2.04
2/3/2019,14:00,-2.52,-,-1.54
2/3/2019,15:00,-1.805,-,-0.86
2/3/2019,16:00,-0.947,-,-0.03
2/3/2019,17:00,-0.178,-,0.71
2/3/2019,18:00,0.322,-,1.25
2/3/2019,19:00,0.479,-,1.4
2/3/2019,20:00,0.318,-,1.15
2/3/2019,21:00,-0.067,-,0.63
2/3/2019,22:00,-0.565,-,0.04
2/3/2019,23:00,-1.037,-,-0.54
2/4/2019,0:00,-1.28,-,-0.9
2/4/2019,1:00,-1.171,-,-0.71
2/4/2019,2:00,-0.75,-,-0.28
2/4/2019,3:00,-0.142,-,0.44
2/4/2019,4:00,0.497,-,1.3
2/4/2019,5:00,0.968,-,1.97
2/4/2019,6:00,1.111,-,2.28
2/4/2019,7:00,0.879,-,1.98
2/4/2019,8:00,0.326,-,1.36
2/4/2019,9:00,-0.431,-,0.53
2/4/2019,10:00,-1.279,-,-0.42
2/4/2019,11:00,-2.108,-,-1.27
2/4/2019,12:00,-2.735,-,-1.96
2/4/2019,13:00,-2.964,-,-2.37
2/4/2019,14:00,-2.749,-,-2.02
2/4/2019,15:00,-2.172,-,-1.42
2/4/2019,16:00,-1.36,-,-0.63
2/4/2019,17:00,-0.503,-,0.24
2/4/2019,18:00,0.171,-,0.95
2/4/2019,19:00,0.513,-,1.32
2/4/2019,20:00,0.491,-,1.39
2/4/2019,21:00,0.18,-,0.97
2/4/2019,22:00,-0.305,-,0.38
2/4/2019,23:00,-0.85,-,-0.23
2/5/2019,0:00,-1.291,-,-0.74
2/5/2019,1:00,-1.418,-,-0.96
2/5/2019,2:00,-1.153,-,-0.64
2/5/2019,3:00,-0.604,-,-0.09
2/5/2019,4:00,0.07,-,0.73
2/5/2019,5:00,0.697,-,1.55
2/5/2019,6:00,1.077,-,2.1
2/5/2019,7:00,1.076,-,2.1
2/5/2019,8:00,0.691,-,1.62
2/5/2019,9:00,0.021,-,0.87
2/5/2019,10:00,-0.797,-,-0.06
2/5/2019,11:00,-1.645,-,-0.94
2/5/2019,12:00,-2.397,-,-1.74
2/5/2019,13:00,-2.848,-,-2.31
2/5/2019,14:00,-2.842,-,-2.34
2/5/2019,15:00,-2.414,-,-1.75
2/5/2019,16:00,-1.7,-,-1.07
2/5/2019,17:00,-0.849,-,-0.18
2/5/2019,18:00,-0.065,-,0.73
2/5/2019,19:00,0.445,-,1.34
2/5/2019,20:00,0.583,-,1.49
2/5/2019,21:00,0.379,-,1.17
2/5/2019,22:00,-0.063,-,0.66
2/5/2019,23:00,-0.62,-,0.01
2/6/2019,0:00,-1.164,-,-0.67
2/6/2019,1:00,-1.508,-,-1.11
2/6/2019,2:00,-1.467,-,-1.05
2/6/2019,3:00,-1.042,-,-0.54
2/6/2019,4:00,-0.393,-,0.18
2/6/2019,5:00,0.304,-,1.07
2/6/2019,6:00,0.867,-,1.79
2/6/2019,7:00,1.106,-,2.08
2/6/2019,8:00,0.935,-,1.84
2/6/2019,9:00,0.407,-,1.21
2/6/2019,10:00,-0.348,-,0.38
2/6/2019,11:00,-1.191,-,-0.56
2/6/2019,12:00,-1.992,-,-1.41
2/6/2019,13:00,-2.595,-,-2.12
2/6/2019,14:00,-2.811,-,-2.47
2/6/2019,15:00,-2.559,-,-2.05
2/6/2019,16:00,-1.949,-,-1.43
2/6/2019,17:00,-1.15,-,-0.59
2/6/2019,18:00,-0.329,-,0.34
2/6/2019,19:00,0.309,-,1.08
2/6/2019,20:00,0.605,-,1.57
2/6/2019,21:00,0.532,-,1.53
2/6/2019,22:00,0.162,-,1.07
2/6/2019,23:00,-0.386,-,0.39
2/7/2019,0:00,-0.975,-,-0.31
2/7/2019,1:00,-1.458,-,-0.91
2/7/2019,2:00,-1.649,-,-1.12
2/7/2019,3:00,-1.427,-,-0.89
2/7/2019,4:00,-0.864,-,-0.27
2/7/2019,5:00,-0.155,-,0.58
2/7/2019,6:00,0.514,-,1.43
2/7/2019,7:00,0.959,-,2.07
2/7/2019,8:00,1.028,-,2.12
2/7/2019,9:00,0.698,-,1.7
2/7/2019,10:00,0.061,-,0.98
2/7/2019,11:00,-0.747,-,0.08
2/7/2019,12:00,-1.568,-,-0.78
2/7/2019,13:00,-2.255,-,-1.58
2/7/2019,14:00,-2.651,-,-2.18
2/7/2019,15:00,-2.612,-,-2.18
2/7/2019,16:00,-2.138,-,-1.53
2/7/2019,17:00,-1.394,-,-0.87
2/7/2019,18:00,-0.576,-,0.06
2/7/2019,19:00,0.139,-,0.9
2/7/2019,20:00,0.576,-,1.48
2/7/2019,21:00,0.647,-,1.58
2/7/2019,22:00,0.377,-,1.28
2/7/2019,23:00,-0.138,-,0.66
2/8/2019,0:00,-0.755,-,-0.09
2/8/2019,1:00,-1.32,-,-0.74
2/8/2019,2:00,-1.685,-,-1.17
2/8/2019,3:00,-1.705,-,-1.09
2/8/2019,4:00,-1.32,-,-0.58
2/8/2019,5:00,-0.658,-,0.14
2/8/2019,6:00,0.06,-,1.07
2/8/2019,7:00,0.645,-,1.85
2/8/2019,8:00,0.94,-,2.14
2/8/2019,9:00,0.849,-,1.96
2/8/2019,10:00,0.395,-,1.35
2/8/2019,11:00,-0.317,-,0.54
2/8/2019,12:00,-1.128,-,-0.34
2/8/2019,13:00,-1.863,-,-1.17
2/8/2019,14:00,-2.377,-,-1.89
2/8/2019,15:00,-2.542,-,-2.21
2/8/2019,16:00,-2.266,-,-1.83
2/8/2019,17:00,-1.615,-,-1.16
2/8/2019,18:00,-0.805,-,-0.31
2/8/2019,19:00,-0.047,-,0.6
2/8/2019,20:00,0.503,-,1.19
2/8/2019,21:00,0.724,-,1.45
2/8/2019,22:00,0.582,-,1.16
2/8/2019,23:00,0.136,-,0.53
2/9/2019,0:00,-0.485,-,-0.2
2/9/2019,1:00,-1.115,-,-0.87
2/9/2019,2:00,-1.602,-,-1.46
2/9/2019,3:00,-1.832,-,-1.84
2/9/2019,4:00,-1.694,-,-1.59
2/9/2019,5:00,-1.182,-,-1.18
2/9/2019,6:00,-0.478,-,-0.59
2/9/2019,7:00,0.188,-,0.07
2/9/2019,8:00,0.653,-,0.51
2/9/2019,9:00,0.806,-,0.66
2/9/2019,10:00,0.593,-,0.32
2/9/2019,11:00,0.056,-,-0.35
2/9/2019,12:00,-0.675,-,-1.08
2/9/2019,13:00,-1.422,-,-1.79
2/9/2019,14:00,-2.012,-,-2.39
2/9/2019,15:00,-2.33,-,-2.79
2/9/2019,16:00,-2.278,-,-2.53
2/9/2019,17:00,-1.807,-,-2
2/9/2019,18:00,-1.05,-,-1.29
2/9/2019,19:00,-0.259,-,-0.43
2/9/2019,20:00,0.376,-,0.27
2/9/2019,21:00,0.741,-,0.71
2/9/2019,22:00,0.758,-,0.62
2/9/2019,23:00,0.429,-,0.2
2/10/2019,0:00,-0.15,-,-0.33
2/10/2019,1:00,-0.818,-,-1.03
2/10/2019,2:00,-1.406,-,-1.68
2/10/2019,3:00,-1.798,-,-2.23
2/10/2019,4:00,-1.906,-,-2.38
2/10/2019,5:00,-1.646,-,-2.09
2/10/2019,6:00,-1.069,-,-1.56
2/10/2019,7:00,-0.391,-,-0.88
2/10/2019,8:00,0.18,-,-0.25
2/10/2019,9:00,0.531,-,0.16
2/10/2019,10:00,0.582,-,0.35
2/10/2019,11:00,0.294,-,0.33
2/10/2019,12:00,-0.263,-,-0.18
2/10/2019,13:00,-0.94,-,-0.72
2/10/2019,14:00,-1.56,-,-1.28
2/10/2019,15:00,-1.982,-,-1.75
2/10/2019,16:00,-2.12,-,-1.94
2/10/2019,17:00,-1.891,-,-1.49
2/10/2019,18:00,-1.298,-,-0.98
2/10/2019,19:00,-0.527,-,-0.31
2/10/2019,20:00,0.174,-,0.45
2/10/2019,21:00,0.662,-,1.07
2/10/2019,22:00,0.856,-,1.37
2/10/2019,23:00,0.699,-,1.33
2/11/2019,0:00,0.231,-,0.89
2/11/2019,1:00,-0.415,-,0.35
2/11/2019,2:00,-1.072,-,-0.27
2/11/2019,3:00,-1.6,-,-0.84
2/11/2019,4:00,-1.912,-,-1.21
2/11/2019,5:00,-1.934,-,-1.19
2/11/2019,6:00,-1.615,-,-0.79
2/11/2019,7:00,-1.05,-,-0.19
2/11/2019,8:00,-0.451,-,0.47
2/11/2019,9:00,0.026,-,1.1
2/11/2019,10:00,0.303,-,1.43
