Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
12/1/2018,0:00,0.404,-,1.53
12/1/2018,1:00,0.615,-,1.88
12/1/2018,2:00,0.585,-,1.82
12/1/2018,3:00,0.348,-,1.57
12/1/2018,4:00,-0.029,-,1.17
12/1/2018,5:00,-0.463,-,0.76
12/1/2018,6:00,-0.869,-,0.34
12/1/2018,7:00,-1.12,-,0.08
12/1/2018,8:00,-1.108,-,0.16
12/1/2018,9:00,-0.858,-,0.41
12/1/2018,10:00,-0.471,-,0.86
12/1/2018,11:00,-0.035,-,1.35
12/1/2018,12:00,0.34,-,1.8
12/1/2018,13:00,0.538,-,1.95
12/1/2018,14:00,0.514,-,2.1
12/1/2018,15:00,0.282,-,1.94
12/1/2018,16:00,-0.1,-,1.62
12/1/2018,17:00,-0.552,-,1.14
12/1/2018,18:00,-1.009,-,0.66
12/1/2018,19:00,-1.373,-,0.37
12/1/2018,20:00,-1.505,-,0.29
12/1/2018,21:00,-1.347,-,0.35
12/1/2018,22:00,-0.97,-,0.95
12/1/2018,23:00,-0.46,-,1.54
12/2/2018,0:00,0.085,-,1.93
12/2/2018,1:00,0.526,-,2.33
12/2/2018,2:00,0.75,-,2.62
12/2/2018,3:00,0.716,-,2.6
12/2/2018,4:00,0.445,-,2.39
12/2/2018,5:00,0.01,-,1.97
12/2/2018,6:00,-0.516,-,1.49
12/2/2018,7:00,-1.051,-,0.98
12/2/2018,8:00,-1.437,-,0.52
12/2/2018,9:00,-1.537,-,0.32
12/2/2018,10:00,-1.355,-,0.4
12/2/2018,11:00,-0.972,-,0.71
12/2/2018,12:00,-0.464,-,1.11
12/2/2018,13:00,0.045,-,1.63
12/2/2018,14:00,0.41,-,1.97
12/2/2018,15:00,0.544,-,2.19
12/2/2018,16:00,0.435,-,2.13
12/2/2018,17:00,0.137,-,1.91
12/2/2018,18:00,-0.279,-,1.52
12/2/2018,19:00,-0.755,-,1.05
12/2/2018,20:00,-1.164,-,0.58
12/2/2018,21:00,-1.33,-,0.36
12/2/2018,22:00,-1.195,-,0.39
12/2/2018,23:00,-0.825,-,0.73
12/3/2018,0:00,-0.298,-,1.21
12/3/2018,1:00,0.281,-,1.74
