Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
3/1/2019,0:00,0.37,-,0.64
3/1/2019,1:00,0.612,-,1.05
3/1/2019,2:00,0.685,-,1.29
3/1/2019,3:00,0.55,-,1.35
3/1/2019,4:00,0.231,-,1.11
3/1/2019,5:00,-0.209,-,0.73
3/1/2019,6:00,-0.72,-,0.27
3/1/2019,7:00,-1.279,-,-0.31
3/1/2019,8:00,-1.799,-,-0.97
3/1/2019,9:00,-2.135,-,-1.56
3/1/2019,10:00,-2.221,-,-1.76
3/1/2019,11:00,-2.075,-,-1.58
3/1/2019,12:00,-1.71,-,-1.14
3/1/2019,13:00,-1.179,-,-0.59
3/1/2019,14:00,-0.629,-,-0.02
3/1/2019,15:00,-0.204,-,0.73
3/1/2019,16:00,0.022,-,1.15
3/1/2019,17:00,0.053,-,1.28
3/1/2019,18:00,-0.063,-,1.18
3/1/2019,19:00,-0.29,-,0.92
3/1/2019,20:00,-0.554,-,0.41
3/1/2019,21:00,-0.705,-,0.1
3/1/2019,22:00,-0.652,-,-0.06
3/1/2019,23:00,-0.435,-,0.03
3/2/2019,0:00,-0.113,-,0
3/2/2019,1:00,0.268,-,0.44
3/2/2019,2:00,0.596,-,0.92
3/2/2019,3:00,0.743,-,1.24
3/2/2019,4:00,0.653,-,1.5
3/2/2019,5:00,0.351,-,1.4
3/2/2019,6:00,-0.107,-,0.94
3/2/2019,7:00,-0.683,-,0.37
3/2/2019,8:00,-1.333,-,-0.35
3/2/2019,9:00,-1.923,-,-1.11
3/2/2019,10:00,-2.287,-,-1.66
3/2/2019,11:00,-2.365,-,-1.88
3/2/2019,12:00,-2.167,-,-1.6
3/2/2019,13:00,-1.695,-,-1.09
3/2/2019,14:00,-1.045,-,-0.37
3/2/2019,15:00,-0.41,-,0.39
3/2/2019,16:00,0.048,-,1.02
3/2/2019,17:00,0.262,-,1.48
3/2/2019,18:00,0.239,-,1.53
3/2/2019,19:00,0.024,-,1.3
3/2/2019,20:00,-0.328,-,0.95
3/2/2019,21:00,-0.696,-,0.38
3/2/2019,22:00,-0.902,-,-0.04
3/2/2019,23:00,-0.864,-,-0.31
3/3/2019,0:00,-0.62,-,-0.38
3/3/2019,1:00,-0.215,-,-0.03
3/3/2019,2:00,0.274,-,0.54
3/3/2019,3:00,0.685,-,1.18
3/3/2019,4:00,0.867,-,1.59
3/3/2019,5:00,0.774,-,1.72
3/3/2019,6:00,0.433,-,1.45
3/3/2019,7:00,-0.102,-,0.9
3/3/2019,8:00,-0.777,-,0.21
3/3/2019,9:00,-1.505,-,-0.59
3/3/2019,10:00,-2.115,-,-1.32
3/3/2019,11:00,-2.444,-,-1.86
3/3/2019,12:00,-2.443,-,-1.91
3/3/2019,13:00,-2.116,-,-1.5
3/3/2019,14:00,-1.499,-,-0.89
3/3/2019,15:00,-0.749,-,-0.11
3/3/2019,16:00,-0.087,-,0.7
3/3/2019,17:00,0.335,-,1.38
3/3/2019,18:00,0.464,-,1.7
3/3/2019,19:00,0.318,-,1.61
3/3/2019,20:00,-0.04,-,1.27
3/3/2019,21:00,-0.513,-,0.77
3/3/2019,22:00,-0.946,-,0.37
3/3/2019,23:00,-1.154,-,0.07
3/4/2019,0:00,-1.067,-,0.08
3/4/2019,1:00,-0.724,-,0.45
3/4/2019,2:00,-0.193,-,1.05
3/4/2019,3:00,0.395,-,1.81
3/4/2019,4:00,0.841,-,2.42
3/4/2019,5:00,1.005,-,2.72
3/4/2019,6:00,0.85,-,2.82
3/4/2019,7:00,0.413,-,2.31
3/4/2019,8:00,-0.231,-,1.45
3/4/2019,9:00,-0.991,-,0.54
3/4/2019,10:00,-1.749,-,-0.39
3/4/2019,11:00,-2.317,-,-1.13
3/4/2019,12:00,-2.539,-,-1.68
3/4/2019,13:00,-2.382,-,-1.51
3/4/2019,14:00,-1.883,-,-1.02
3/4/2019,15:00,-1.139,-,-0.34
3/4/2019,16:00,-0.35,-,0.44
3/4/2019,17:00,0.264,-,1.12
3/4/2019,18:00,0.576,-,1.54
3/4/2019,19:00,0.552,-,1.5
3/4/2019,20:00,0.243,-,1.1
3/4/2019,21:00,-0.249,-,0.55
3/4/2019,22:00,-0.804,-,-0.05
3/4/2019,23:00,-1.246,-,-0.61
3/5/2019,0:00,-1.391,-,-0.95
3/5/2019,1:00,-1.185,-,-0.94
3/5/2019,2:00,-0.698,-,-0.53
3/5/2019,3:00,-0.048,-,0.12
3/5/2019,4:00,0.59,-,0.79
3/5/2019,5:00,1.012,-,1.44
3/5/2019,6:00,1.095,-,1.61
