Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
3/1/2018,0:00,-1.582,-,-0.93
3/1/2018,1:00,-1.281,-,-0.5
3/1/2018,2:00,-0.632,-,0.19
3/1/2018,3:00,0.2,-,1.09
3/1/2018,4:00,0.991,-,1.91
3/1/2018,5:00,1.504,-,2.49
3/1/2018,6:00,1.595,-,2.58
3/1/2018,7:00,1.247,-,2.16
3/1/2018,8:00,0.539,-,1.42
3/1/2018,9:00,-0.398,-,0.52
3/1/2018,10:00,-1.424,-,-0.43
3/1/2018,11:00,-2.367,-,-1.28
3/1/2018,12:00,-2.977,-,-1.93
3/1/2018,13:00,-3.065,-,-2.13
3/1/2018,14:00,-2.64,-,-1.44
3/1/2018,15:00,-1.835,-,-0.64
3/1/2018,16:00,-0.845,-,0.39
3/1/2018,17:00,0.068,-,1.33
3/1/2018,18:00,0.672,-,2.06
3/1/2018,19:00,0.855,-,2.33
3/1/2018,20:00,0.631,-,1.99
3/1/2018,21:00,0.105,-,1.43
3/1/2018,22:00,-0.586,-,0.69
3/1/2018,23:00,-1.294,-,-0.07
3/2/2018,0:00,-1.79,-,-0.64
3/2/2018,1:00,-1.844,-,-0.8
3/2/2018,2:00,-1.416,-,-0.33
3/2/2018,3:00,-0.647,-,0.38
3/2/2018,4:00,0.265,-,1.28
3/2/2018,5:00,1.081,-,2.15
3/2/2018,6:00,1.562,-,2.65
3/2/2018,7:00,1.579,-,2.59
3/2/2018,8:00,1.146,-,1.85
3/2/2018,9:00,0.377,-,1.04
3/2/2018,10:00,-0.582,-,-0.01
3/2/2018,11:00,-1.591,-,-1.05
3/2/2018,12:00,-2.454,-,-1.97
3/2/2018,13:00,-2.904,-,-2.71
3/2/2018,14:00,-2.797,-,-2.87
3/2/2018,15:00,-2.211,-,-2.23
3/2/2018,16:00,-1.317,-,-1.44
3/2/2018,17:00,-0.333,-,-0.48
3/2/2018,18:00,0.476,-,0.46
3/2/2018,19:00,0.9,-,1.1
3/2/2018,20:00,0.879,-,1.26
3/2/2018,21:00,0.478,-,0.93
3/2/2018,22:00,-0.175,-,0.21
3/2/2018,23:00,-0.944,-,-0.58
3/3/2018,0:00,-1.663,-,-1.37
3/3/2018,1:00,-2.082,-,-1.94
3/3/2018,2:00,-2,-,-1.97
3/3/2018,3:00,-1.446,-,-1.53
3/3/2018,4:00,-0.596,-,-0.84
3/3/2018,5:00,0.342,-,0.02
3/3/2018,6:00,1.119,-,0.75
3/3/2018,7:00,1.506,-,1.15
3/3/2018,8:00,1.417,-,1.07
3/3/2018,9:00,0.91,-,0.53
3/3/2018,10:00,0.116,-,-0.3
3/3/2018,11:00,-0.821,-,-1.21
3/3/2018,12:00,-1.749,-,-2.11
3/3/2018,13:00,-2.448,-,-2.89
3/3/2018,14:00,-2.672,-,-3.38
3/3/2018,15:00,-2.359,-,-2.97
3/3/2018,16:00,-1.644,-,-2.24
3/3/2018,17:00,-0.72,-,-1.29
3/3/2018,18:00,0.185,-,-0.28
3/3/2018,19:00,0.815,-,0.52
3/3/2018,20:00,1.013,-,1.03
3/3/2018,21:00,0.787,-,0.99
3/3/2018,22:00,0.233,-,0.48
3/3/2018,23:00,-0.515,-,-0.29
3/4/2018,0:00,-1.313,-,-1.16
3/4/2018,1:00,-1.975,-,-1.88
3/4/2018,2:00,-2.26,-,-2.37
3/4/2018,3:00,-2.034,-,-2.24
3/4/2018,4:00,-1.384,-,-1.76
3/4/2018,5:00,-0.502,-,-0.92
3/4/2018,6:00,0.399,-,-0.02
3/4/2018,7:00,1.072,-,0.72
3/4/2018,8:00,1.328,-,1.1
3/4/2018,9:00,1.137,-,1.01
3/4/2018,10:00,0.583,-,0.52
3/4/2018,11:00,-0.202,-,-0.19
3/4/2018,12:00,-1.067,-,-0.98
3/4/2018,13:00,-1.844,-,-1.7
3/4/2018,14:00,-2.316,-,-2.26
3/4/2018,15:00,-2.299,-,-2.32
3/4/2018,16:00,-1.807,-,-1.81
3/4/2018,17:00,-1.014,-,-1.12
3/4/2018,18:00,-0.126,-,-0.15
3/4/2018,19:00,0.626,-,0.76
3/4/2018,20:00,1.03,-,1.39
3/4/2018,21:00,1.003,-,1.5
3/4/2018,22:00,0.596,-,1.16
3/4/2018,23:00,-0.077,-,0.55
3/5/2018,0:00,-0.872,-,-0.33
3/5/2018,1:00,-1.633,-,-1.12
3/5/2018,2:00,-2.177,-,-1.76
3/5/2018,3:00,-2.308,-,-2.08
3/5/2018,4:00,-1.959,-,-1.85
3/5/2018,5:00,-1.256,-,-1.19
3/5/2018,6:00,-0.401,-,-0.41
3/5/2018,7:00,0.399,-,0.41
3/5/2018,8:00,0.928,-,1.05
3/5/2018,9:00,1.055,-,1.3
3/5/2018,10:00,0.786,-,1.06
3/5/2018,11:00,0.212,-,0.53
3/5/2018,12:00,-0.523,-,-0.19
3/5/2018,13:00,-1.258,-,-0.82
3/5/2018,14:00,-1.83,-,-1.42
3/5/2018,15:00,-2.059,-,-1.53
3/5/2018,16:00,-1.826,-,-1.15
3/5/2018,17:00,-1.205,-,-0.44
3/5/2018,18:00,-0.403,-,0.39
3/5/2018,19:00,0.374,-,1.29
3/5/2018,20:00,0.926,-,1.95
3/5/2018,21:00,1.103,-,2.1
3/5/2018,22:00,0.88,-,1.74
3/5/2018,23:00,0.331,-,1.08
3/6/2018,0:00,-0.412,-,0.28
3/6/2018,1:00,-1.186,-,-0.53
3/6/2018,2:00,-1.847,-,-1.18
3/6/2018,3:00,-2.249,-,-1.63
3/6/2018,4:00,-2.24,-,-1.43
3/6/2018,5:00,-1.805,-,-0.91
3/6/2018,6:00,-1.107,-,-0.2
3/6/2018,7:00,-0.34,-,0.7
3/6/2018,8:00,0.319,-,1.38
3/6/2018,9:00,0.704,-,1.77
3/6/2018,10:00,0.728,-,1.7
3/6/2018,11:00,0.41,-,1.35
3/6/2018,12:00,-0.144,-,0.8
3/6/2018,13:00,-0.777,-,0.1
3/6/2018,14:00,-1.335,-,-0.4
3/6/2018,15:00,-1.693,-,-0.62
3/6/2018,16:00,-1.705,-,-0.48
3/6/2018,17:00,-1.307,-,0.11
3/6/2018,18:00,-0.632,-,0.86
3/6/2018,19:00,0.101,-,1.77
3/6/2018,20:00,0.714,-,2.4
3/6/2018,21:00,1.062,-,2.7
3/6/2018,22:00,1.045,-,2.66
3/6/2018,23:00,0.668,-,2.29
3/7/2018,0:00,0.032,-,1.67
3/7/2018,1:00,-0.707,-,0.93
3/7/2018,2:00,-1.398,-,0.43
3/7/2018,3:00,-1.936,-,0.09
3/7/2018,4:00,-2.204,-,-0.12
3/7/2018,5:00,-2.087,-,0.31
3/7/2018,6:00,-1.625,-,0.43
3/7/2018,7:00,-0.997,-,0.99
3/7/2018,8:00,-0.36,-,1.43
3/7/2018,9:00,0.161,-,1.58
3/7/2018,10:00,0.433,-,1.47
3/7/2018,11:00,0.388,-,1.16
3/7/2018,12:00,0.066,-,0.72
3/7/2018,13:00,-0.414,-,0.3
3/7/2018,14:00,-0.9,-,-0.23
3/7/2018,15:00,-1.279,-,-0.64
3/7/2018,16:00,-1.451,-,-0.85
3/7/2018,17:00,-1.299,-,-0.76
3/7/2018,18:00,-0.814,-,-0.37
3/7/2018,19:00,-0.173,-,0.25
3/7/2018,20:00,0.43,-,0.76
3/7/2018,21:00,0.874,-,1.2
3/7/2018,22:00,1.049,-,1.41
3/7/2018,23:00,0.883,-,1.35
3/8/2018,0:00,0.415,-,0.96
3/8/2018,1:00,-0.23,-,0.44
3/8/2018,2:00,-0.9,-,-0.16
3/8/2018,3:00,-1.483,-,-0.74
3/8/2018,4:00,-1.908,-,-1.17
3/8/2018,5:00,-2.075,-,-1.47
3/8/2018,6:00,-1.908,-,-1.59
3/8/2018,7:00,-1.49,-,-1.39
3/8/2018,8:00,-0.976,-,-1.06
3/8/2018,9:00,-0.466,-,-0.68
3/8/2018,10:00,-0.05,-,-0.36
3/8/2018,11:00,0.151,-,-0.16
3/8/2018,12:00,0.09,-,-0.13
3/8/2018,13:00,-0.178,-,-0.26
3/8/2018,14:00,-0.538,-,-0.44
3/8/2018,15:00,-0.876,-,-0.63
3/8/2018,16:00,-1.108,-,-0.85
3/8/2018,17:00,-1.148,-,-0.74
3/8/2018,18:00,-0.91,-,-0.46
3/8/2018,19:00,-0.434,-,-0.04
3/8/2018,20:00,0.106,-,0.44
3/8/2018,21:00,0.569,-,0.83
3/8/2018,22:00,0.873,-,1.05
3/8/2018,23:00,0.924,-,1.12
3/9/2018,0:00,0.678,-,0.9
3/9/2018,1:00,0.201,-,0.55
