Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
5/1/2018,0:00,-1.995,-,-2.01
5/1/2018,1:00,-2.459,-,-2.63
5/1/2018,2:00,-2.433,-,-2.67
5/1/2018,3:00,-1.952,-,-2.1
5/1/2018,4:00,-1.166,-,-1.39
5/1/2018,5:00,-0.251,-,-0.55
5/1/2018,6:00,0.569,-,0.15
5/1/2018,7:00,1.073,-,0.62
5/1/2018,8:00,1.172,-,0.82
5/1/2018,9:00,0.916,-,0.65
5/1/2018,10:00,0.426,-,0.19
5/1/2018,11:00,-0.168,-,-0.36
5/1/2018,12:00,-0.737,-,-0.92
5/1/2018,13:00,-1.097,-,-1.24
5/1/2018,14:00,-1.056,-,-1.04
5/1/2018,15:00,-0.609,-,-0.44
5/1/2018,16:00,0.077,-,0.34
5/1/2018,17:00,0.814,-,1.11
5/1/2018,18:00,1.407,-,1.83
5/1/2018,19:00,1.652,-,2.12
5/1/2018,20:00,1.466,-,1.77
5/1/2018,21:00,0.912,-,1.04
5/1/2018,22:00,0.13,-,0.19
5/1/2018,23:00,-0.738,-,-0.68
5/2/2018,0:00,-1.571,-,-1.52
5/2/2018,1:00,-2.22,-,-2.24
5/2/2018,2:00,-2.488,-,-2.59
5/2/2018,3:00,-2.278,-,-2.34
5/2/2018,4:00,-1.684,-,-1.67
5/2/2018,5:00,-0.868,-,-0.9
5/2/2018,6:00,-0.005,-,-0.17
5/2/2018,7:00,0.686,-,0.41
5/2/2018,8:00,1.034,-,0.74
5/2/2018,9:00,1.009,-,0.71
5/2/2018,10:00,0.686,-,0.41
5/2/2018,11:00,0.186,-,-0.14
5/2/2018,12:00,-0.359,-,-0.68
5/2/2018,13:00,-0.809,-,-1.06
5/2/2018,14:00,-0.986,-,-0.97
5/2/2018,15:00,-0.764,-,-0.58
5/2/2018,16:00,-0.206,-,0.08
5/2/2018,17:00,0.491,-,0.85
5/2/2018,18:00,1.141,-,1.53
5/2/2018,19:00,1.556,-,1.88
5/2/2018,20:00,1.585,-,1.72
5/2/2018,21:00,1.215,-,1.18
5/2/2018,22:00,0.547,-,0.38
5/2/2018,23:00,-0.277,-,-0.56
5/3/2018,0:00,-1.114,-,-1.35
5/3/2018,1:00,-1.838,-,-2.05
5/3/2018,2:00,-2.311,-,-2.57
5/3/2018,3:00,-2.383,-,-2.71
5/3/2018,4:00,-2.022,-,-2.18
5/3/2018,5:00,-1.358,-,-1.5
5/3/2018,6:00,-0.561,-,-0.78
5/3/2018,7:00,0.199,-,-0.11
5/3/2018,8:00,0.739,-,0.43
5/3/2018,9:00,0.946,-,0.67
5/3/2018,10:00,0.826,-,0.66
5/3/2018,11:00,0.458,-,0.23
5/3/2018,12:00,-0.029,-,-0.24
5/3/2018,13:00,-0.493,-,-0.56
5/3/2018,14:00,-0.802,-,-0.65
5/3/2018,15:00,-0.812,-,-0.5
5/3/2018,16:00,-0.453,-,-0.01
5/3/2018,17:00,0.16,-,0.61
5/3/2018,18:00,0.814,-,1.25
5/3/2018,19:00,1.329,-,1.73
5/3/2018,20:00,1.555,-,1.79
5/3/2018,21:00,1.403,-,1.38
5/3/2018,22:00,0.904,-,0.75
5/3/2018,23:00,0.171,-,-0.11
5/4/2018,0:00,-0.647,-,-0.92
5/4/2018,1:00,-1.401,-,-1.7
5/4/2018,2:00,-1.979,-,-2.22
5/4/2018,3:00,-2.275,-,-2.5
5/4/2018,4:00,-2.178,-,-2.24
5/4/2018,5:00,-1.709,-,-1.67
5/4/2018,6:00,-1.028,-,-1.02
5/4/2018,7:00,-0.301,-,-0.33
5/4/2018,8:00,0.332,-,0.16
5/4/2018,9:00,0.734,-,0.44
5/4/2018,10:00,0.83,-,0.5
5/4/2018,11:00,0.64,-,0.33
5/4/2018,12:00,0.252,-,-0.04
