Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
10/1/2017,0:00,-0.348,-,-0.58
10/1/2017,1:00,0.143,-,-0.04
10/1/2017,2:00,0.581,-,0.28
10/1/2017,3:00,0.839,-,0.59
10/1/2017,4:00,0.865,-,0.82
10/1/2017,5:00,0.692,-,0.82
10/1/2017,6:00,0.403,-,0.56
10/1/2017,7:00,0.068,-,0.33
10/1/2017,8:00,-0.234,-,0.15
10/1/2017,9:00,-0.364,-,-0.01
10/1/2017,10:00,-0.236,-,0.28
10/1/2017,11:00,0.079,-,0.67
10/1/2017,12:00,0.473,-,1.27
10/1/2017,13:00,0.882,-,1.76
10/1/2017,14:00,1.207,-,1.93
10/1/2017,15:00,1.319,-,2.06
10/1/2017,16:00,1.169,-,1.95
10/1/2017,17:00,0.8,-,1.57
10/1/2017,18:00,0.299,-,1.12
10/1/2017,19:00,-0.253,-,0.48
10/1/2017,20:00,-0.793,-,-0.3
10/1/2017,21:00,-1.201,-,-0.75
10/1/2017,22:00,-1.336,-,-1.01
10/1/2017,23:00,-1.182,-,-0.99
10/2/2017,0:00,-0.818,-,-0.84
10/2/2017,1:00,-0.296,-,-0.16
10/2/2017,2:00,0.296,-,0.13
10/2/2017,3:00,0.788,-,0.66
10/2/2017,4:00,1.041,-,1.1
10/2/2017,5:00,1.02,-,1.29
10/2/2017,6:00,0.769,-,1.17
10/2/2017,7:00,0.37,-,0.93
10/2/2017,8:00,-0.089,-,0.65
10/2/2017,9:00,-0.485,-,0.34
10/2/2017,10:00,-0.651,-,0.25
10/2/2017,11:00,-0.509,-,0.38
10/2/2017,12:00,-0.137,-,0.65
10/2/2017,13:00,0.369,-,1.06
10/2/2017,14:00,0.915,-,1.5
10/2/2017,15:00,1.342,-,1.9
10/2/2017,16:00,1.501,-,1.88
10/2/2017,17:00,1.35,-,1.72
10/2/2017,18:00,0.939,-,1.36
10/2/2017,19:00,0.358,-,0.89
10/2/2017,20:00,-0.296,-,0.31
10/2/2017,21:00,-0.918,-,-0.16
10/2/2017,22:00,-1.35,-,-0.55
10/2/2017,23:00,-1.45,-,-0.79
10/3/2017,0:00,-1.217,-,-0.67
10/3/2017,1:00,-0.734,-,-0.36
10/3/2017,2:00,-0.085,-,0.17
10/3/2017,3:00,0.581,-,0.63
10/3/2017,4:00,1.066,-,0.93
10/3/2017,5:00,1.25,-,1.19
10/3/2017,6:00,1.12,-,1.2
10/3/2017,7:00,0.732,-,0.82
10/3/2017,8:00,0.192,-,0.35
10/3/2017,9:00,-0.381,-,-0.17
10/3/2017,10:00,-0.833,-,-0.54
10/3/2017,11:00,-0.985,-,-0.75
10/3/2017,12:00,-0.772,-,-0.64
10/3/2017,13:00,-0.277,-,-0.19
10/3/2017,14:00,0.38,-,0.47
10/3/2017,15:00,1.05,-,1.11
10/3/2017,16:00,1.535,-,1.65
10/3/2017,17:00,1.69,-,1.62
10/3/2017,18:00,1.489,-,1.36
10/3/2017,19:00,0.99,-,0.83
10/3/2017,20:00,0.307,-,0.21
10/3/2017,21:00,-0.43,-,-0.53
10/3/2017,22:00,-1.087,-,-1.21
10/3/2017,23:00,-1.487,-,-1.73
10/4/2017,0:00,-1.492,-,-2.09
10/4/2017,1:00,-1.119,-,-1.89
10/4/2017,2:00,-0.487,-,-1.38
10/4/2017,3:00,0.264,-,-0.73
10/4/2017,4:00,0.941,-,-0.04
10/4/2017,5:00,1.351,-,0.52
10/4/2017,6:00,1.402,-,0.75
10/4/2017,7:00,1.105,-,0.62
10/4/2017,8:00,0.553,-,0.19
10/4/2017,9:00,-0.117,-,-0.35
10/4/2017,10:00,-0.766,-,-0.95
10/4/2017,11:00,-1.225,-,-1.28
