Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
6/1/2018,0:00,-1.344,-,-1.16
6/1/2018,1:00,-1.994,-,-1.8
6/1/2018,2:00,-2.344,-,-2.16
6/1/2018,3:00,-2.268,-,-1.93
6/1/2018,4:00,-1.805,-,-1.41
6/1/2018,5:00,-1.105,-,-0.76
6/1/2018,6:00,-0.312,-,0
6/1/2018,7:00,0.4,-,0.66
6/1/2018,8:00,0.855,-,1.11
6/1/2018,9:00,0.984,-,1.19
6/1/2018,10:00,0.823,-,0.91
6/1/2018,11:00,0.462,-,0.46
6/1/2018,12:00,0.022,-,0.01
6/1/2018,13:00,-0.374,-,-0.24
6/1/2018,14:00,-0.581,-,-0.42
6/1/2018,15:00,-0.461,-,-0.18
6/1/2018,16:00,-0.014,-,0.31
6/1/2018,17:00,0.591,-,0.97
6/1/2018,18:00,1.166,-,1.68
6/1/2018,19:00,1.551,-,2.12
6/1/2018,20:00,1.608,-,2.01
6/1/2018,21:00,1.295,-,1.55
6/1/2018,22:00,0.688,-,0.89
6/1/2018,23:00,-0.089,-,0.11
6/2/2018,0:00,-0.893,-,-0.66
6/2/2018,1:00,-1.599,-,-1.38
6/2/2018,2:00,-2.099,-,-1.91
6/2/2018,3:00,-2.265,-,-2.05
6/2/2018,4:00,-2.022,-,-1.67
6/2/2018,5:00,-1.458,-,-1.12
6/2/2018,6:00,-0.737,-,-0.41
6/2/2018,7:00,-0.006,-,0.34
6/2/2018,8:00,0.583,-,0.9
6/2/2018,9:00,0.904,-,1.17
6/2/2018,10:00,0.923,-,1.1
6/2/2018,11:00,0.683,-,0.84
6/2/2018,12:00,0.286,-,0.39
6/2/2018,13:00,-0.133,-,0
6/2/2018,14:00,-0.452,-,-0.32
6/2/2018,15:00,-0.548,-,-0.32
6/2/2018,16:00,-0.318,-,-0.02
6/2/2018,17:00,0.191,-,0.48
6/2/2018,18:00,0.782,-,1.22
6/2/2018,19:00,1.268,-,1.78
6/2/2018,20:00,1.519,-,2.04
6/2/2018,21:00,1.443,-,1.92
6/2/2018,22:00,1.032,-,1.42
6/2/2018,23:00,0.37,-,0.71
6/3/2018,0:00,-0.41,-,-0.02
6/3/2018,1:00,-1.154,-,-0.77
6/3/2018,2:00,-1.744,-,-1.31
6/3/2018,3:00,-2.094,-,-1.67
6/3/2018,4:00,-2.097,-,-1.8
6/3/2018,5:00,-1.721,-,-1.42
6/3/2018,6:00,-1.096,-,-0.75
6/3/2018,7:00,-0.401,-,0
6/3/2018,8:00,0.241,-,0.65
6/3/2018,9:00,0.713,-,1.04
6/3/2018,10:00,0.918,-,1.27
6/3/2018,11:00,0.838,-,1.16
6/3/2018,12:00,0.532,-,0.82
6/3/2018,13:00,0.123,-,0.4
6/3/2018,14:00,-0.255,-,0.05
6/3/2018,15:00,-0.501,-,-0.16
6/3/2018,16:00,-0.507,-,-0.04
6/3/2018,17:00,-0.195,-,0.31
6/3/2018,18:00,0.337,-,0.81
6/3/2018,19:00,0.875,-,1.38
6/3/2018,20:00,1.263,-,1.75
6/3/2018,21:00,1.408,-,1.87
6/3/2018,22:00,1.244,-,1.67
6/3/2018,23:00,0.775,-,1.22
6/4/2018,0:00,0.094,-,0.57
6/4/2018,1:00,-0.648,-,-0.22
6/4/2018,2:00,-1.303,-,-0.82
6/4/2018,3:00,-1.777,-,-1.3
6/4/2018,4:00,-1.995,-,-1.47
6/4/2018,5:00,-1.864,-,-1.33
6/4/2018,6:00,-1.397,-,-0.88
6/4/2018,7:00,-0.764,-,-0.28
6/4/2018,8:00,-0.125,-,0.3
6/4/2018,9:00,0.43,-,0.77
6/4/2018,10:00,0.803,-,1.08
6/4/2018,11:00,0.907,-,1.17
6/4/2018,12:00,0.743,-,0.94
6/4/2018,13:00,0.397,-,0.56
6/4/2018,14:00,-0.003,-,0.14
6/4/2018,15:00,-0.343,-,-0.16
6/4/2018,16:00,-0.537,-,-0.29
6/4/2018,17:00,-0.479,-,-0.15
6/4/2018,18:00,-0.126,-,0.14
6/4/2018,19:00,0.384,-,0.7
6/4/2018,20:00,0.85,-,1.17
6/4/2018,21:00,1.163,-,1.52
6/4/2018,22:00,1.247,-,1.57
6/4/2018,23:00,1.037,-,1.27
6/5/2018,0:00,0.551,-,0.76
6/5/2018,1:00,-0.101,-,0.18
6/5/2018,2:00,-0.772,-,-0.45
6/5/2018,3:00,-1.334,-,-1.02
6/5/2018,4:00,-1.711,-,-1.35
6/5/2018,5:00,-1.823,-,-1.39
6/5/2018,6:00,-1.598,-,-1.18
6/5/2018,7:00,-1.096,-,-0.77
6/5/2018,8:00,-0.491,-,-0.26
6/5/2018,9:00,0.092,-,0.31
6/5/2018,10:00,0.58,-,0.71
6/5/2018,11:00,0.869,-,0.98
6/5/2018,12:00,0.889,-,0.97
6/5/2018,13:00,0.671,-,0.75
6/5/2018,14:00,0.307,-,0.43
6/5/2018,15:00,-0.089,-,0.08
6/5/2018,16:00,-0.415,-,-0.19
6/5/2018,17:00,-0.584,-,-0.36
6/5/2018,18:00,-0.5,-,-0.21
6/5/2018,19:00,-0.154,-,0.09
6/5/2018,20:00,0.306,-,0.46
6/5/2018,21:00,0.718,-,0.89
6/5/2018,22:00,0.997,-,1.23
6/5/2018,23:00,1.063,-,1.28
6/6/2018,0:00,0.853,-,1.04
6/6/2018,1:00,0.403,-,0.56
6/6/2018,2:00,-0.182,-,0.06
6/6/2018,3:00,-0.777,-,-0.49
6/6/2018,4:00,-1.266,-,-0.96
6/6/2018,5:00,-1.57,-,-1.23
6/6/2018,6:00,-1.614,-,-1.28
6/6/2018,7:00,-1.348,-,-0.97
6/6/2018,8:00,-0.849,-,-0.47
6/6/2018,9:00,-0.275,-,0.08
6/6/2018,10:00,0.272,-,0.68
6/6/2018,11:00,0.71,-,1.08
6/6/2018,12:00,0.934,-,1.4
6/6/2018,13:00,0.901,-,1.34
6/6/2018,14:00,0.649,-,1.22
6/6/2018,15:00,0.259,-,1.14
6/6/2018,16:00,-0.157,-,0.2
6/6/2018,17:00,-0.498,-,-0.24
6/6/2018,18:00,-0.679,-,-0.49
6/6/2018,19:00,-0.615,-,-0.48
6/6/2018,20:00,-0.307,-,-0.27
6/6/2018,21:00,0.112,-,-0.02
6/6/2018,22:00,0.509,-,0.38
6/6/2018,23:00,0.8,-,0.77
6/7/2018,0:00,0.895,-,1.02
6/7/2018,1:00,0.74,-,0.97
6/7/2018,2:00,0.364,-,0.65
6/7/2018,3:00,-0.15,-,0.19
6/7/2018,4:00,-0.685,-,-0.34
6/7/2018,5:00,-1.124,-,-0.75
6/7/2018,6:00,-1.392,-,-1.05
6/7/2018,7:00,-1.414,-,-1.09
6/7/2018,8:00,-1.142,-,-0.71
6/7/2018,9:00,-0.652,-,-0.23
6/7/2018,10:00,-0.09,-,0.34
6/7/2018,11:00,0.44,-,0.89
6/7/2018,12:00,0.848,-,1.27
6/7/2018,13:00,1.037,-,1.39
6/7/2018,14:00,0.967,-,1.36
6/7/2018,15:00,0.667,-,1.06
6/7/2018,16:00,0.225,-,0.64
6/7/2018,17:00,-0.24,-,0.12
6/7/2018,18:00,-0.632,-,-0.37
6/7/2018,19:00,-0.868,-,-0.7
6/7/2018,20:00,-0.852,-,-0.74
6/7/2018,21:00,-0.574,-,-0.61
6/7/2018,22:00,-0.16,-,-0.25
6/7/2018,23:00,0.265,-,0.24
6/8/2018,0:00,0.614,-,0.67
6/8/2018,1:00,0.792,-,1.06
6/8/2018,2:00,0.728,-,1.19
