Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
2/1/2018,0:00,-1.439,-,-1.23
2/1/2018,1:00,-1.593,-,-1.43
2/1/2018,2:00,-1.262,-,-1.04
2/1/2018,3:00,-0.563,-,-0.36
2/1/2018,4:00,0.298,-,0.61
2/1/2018,5:00,1.101,-,1.51
2/1/2018,6:00,1.604,-,2.16
2/1/2018,7:00,1.644,-,2.22
2/1/2018,8:00,1.21,-,1.69
2/1/2018,9:00,0.408,-,0.88
2/1/2018,10:00,-0.612,-,-0.09
2/1/2018,11:00,-1.705,-,-1.08
2/1/2018,12:00,-2.708,-,-1.98
2/1/2018,13:00,-3.366,-,-2.77
2/1/2018,14:00,-3.465,-,-3.15
2/1/2018,15:00,-3.011,-,-2.61
2/1/2018,16:00,-2.167,-,-1.85
2/1/2018,17:00,-1.13,-,-0.85
2/1/2018,18:00,-0.154,-,0.1
2/1/2018,19:00,0.511,-,0.85
2/1/2018,20:00,0.746,-,1.26
2/1/2018,21:00,0.574,-,1.19
2/1/2018,22:00,0.098,-,0.67
2/1/2018,23:00,-0.551,-,-0.01
2/2/2018,0:00,-1.224,-,-0.73
2/2/2018,1:00,-1.702,-,-1.19
2/2/2018,2:00,-1.745,-,-1.1
2/2/2018,3:00,-1.302,-,-0.58
2/2/2018,4:00,-0.532,-,0.24
2/2/2018,5:00,0.355,-,1.28
2/2/2018,6:00,1.128,-,2.12
2/2/2018,7:00,1.55,-,2.56
2/2/2018,8:00,1.494,-,2.41
2/2/2018,9:00,0.993,-,1.77
2/2/2018,10:00,0.169,-,0.89
2/2/2018,11:00,-0.835,-,-0.11
2/2/2018,12:00,-1.87,-,-1.09
2/2/2018,13:00,-2.745,-,-1.98
2/2/2018,14:00,-3.211,-,-2.64
2/2/2018,15:00,-3.115,-,-2.75
2/2/2018,16:00,-2.527,-,-2.05
2/2/2018,17:00,-1.63,-,-1.25
2/2/2018,18:00,-0.634,-,-0.2
2/2/2018,19:00,0.206,-,0.6
2/2/2018,20:00,0.68,-,1.04
2/2/2018,21:00,0.73,-,0.82
2/2/2018,22:00,0.41,-,0.32
2/2/2018,23:00,-0.17,-,-0.39
2/3/2018,0:00,-0.869,-,-1.26
2/3/2018,1:00,-1.523,-,-1.91
2/3/2018,2:00,-1.906,-,-2.33
2/3/2018,3:00,-1.829,-,-2.18
2/3/2018,4:00,-1.3,-,-1.73
2/3/2018,5:00,-0.499,-,-0.98
2/3/2018,6:00,0.362,-,-0.23
2/3/2018,7:00,1.051,-,0.24
2/3/2018,8:00,1.362,-,0.38
2/3/2018,9:00,1.219,-,0.13
2/3/2018,10:00,0.682,-,-0.37
2/3/2018,11:00,-0.132,-,-1.07
2/3/2018,12:00,-1.072,-,-1.73
2/3/2018,13:00,-1.978,-,-2.46
2/3/2018,14:00,-2.658,-,-2.99
2/3/2018,15:00,-2.901,-,-3.08
2/3/2018,16:00,-2.62,-,-2.56
2/3/2018,17:00,-1.932,-,-1.83
2/3/2018,18:00,-1.038,-,-0.89
2/3/2018,19:00,-0.151,-,0.02
2/3/2018,20:00,0.5,-,0.57
2/3/2018,21:00,0.769,-,0.89
2/3/2018,22:00,0.642,-,0.82
2/3/2018,23:00,0.187,-,0.31
2/4/2018,0:00,-0.468,-,-0.28
2/4/2018,1:00,-1.168,-,-0.89
2/4/2018,2:00,-1.752,-,-1.42
2/4/2018,3:00,-2.025,-,-1.55
2/4/2018,4:00,-1.844,-,-1.23
2/4/2018,5:00,-1.266,-,-0.54
2/4/2018,6:00,-0.485,-,0.29
2/4/2018,7:00,0.291,-,1.08
2/4/2018,8:00,0.86,-,1.67
2/4/2018,9:00,1.062,-,1.9
2/4/2018,10:00,0.858,-,1.74
2/4/2018,11:00,0.311,-,1.18
2/4/2018,12:00,-0.452,-,0.52
2/4/2018,13:00,-1.268,-,-0.1
2/4/2018,14:00,-1.987,-,-0.74
2/4/2018,15:00,-2.443,-,-1.16
2/4/2018,16:00,-2.469,-,-0.95
2/4/2018,17:00,-2.036,-,-0.55
2/4/2018,18:00,-1.304,-,0.37
2/4/2018,19:00,-0.48,-,1.15
2/4/2018,20:00,0.246,-,2.02
2/4/2018,21:00,0.698,-,2.53
2/4/2018,22:00,0.775,-,2.59
2/4/2018,23:00,0.49,-,1.84
2/5/2018,0:00,-0.065,-,1.25
2/5/2018,1:00,-0.741,-,0.46
2/5/2018,2:00,-1.392,-,-0.37
2/5/2018,3:00,-1.885,-,-0.99
