Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
7/1/2018,0:00,-1.01,-,-0.42
7/1/2018,1:00,-1.68,-,-1.16
7/1/2018,2:00,-2.102,-,-1.63
7/1/2018,3:00,-2.137,-,-1.62
7/1/2018,4:00,-1.769,-,-1.04
7/1/2018,5:00,-1.133,-,-0.43
7/1/2018,6:00,-0.383,-,0.36
7/1/2018,7:00,0.33,-,1.13
7/1/2018,8:00,0.842,-,1.73
7/1/2018,9:00,1.054,-,1.97
7/1/2018,10:00,0.969,-,1.85
7/1/2018,11:00,0.652,-,1.52
7/1/2018,12:00,0.214,-,0.82
7/1/2018,13:00,-0.216,-,0.26
7/1/2018,14:00,-0.507,-,0.4
7/1/2018,15:00,-0.516,-,0.05
7/1/2018,16:00,-0.179,-,0.37
7/1/2018,17:00,0.385,-,0.81
7/1/2018,18:00,0.976,-,1.41
7/1/2018,19:00,1.43,-,1.93
7/1/2018,20:00,1.612,-,2.01
7/1/2018,21:00,1.443,-,1.75
7/1/2018,22:00,0.953,-,1.23
7/1/2018,23:00,0.244,-,0.52
7/2/2018,0:00,-0.548,-,-0.28
7/2/2018,1:00,-1.276,-,-1.02
7/2/2018,2:00,-1.825,-,-1.6
7/2/2018,3:00,-2.078,-,-1.73
7/2/2018,4:00,-1.928,-,-1.44
7/2/2018,5:00,-1.414,-,-0.92
7/2/2018,6:00,-0.709,-,-0.13
7/2/2018,7:00,0.019,-,0.62
7/2/2018,8:00,0.633,-,1.28
7/2/2018,9:00,1.008,-,1.62
7/2/2018,10:00,1.08,-,1.59
7/2/2018,11:00,0.869,-,1.28
7/2/2018,12:00,0.462,-,0.81
7/2/2018,13:00,-0.004,-,0.36
7/2/2018,14:00,-0.399,-,-0.07
7/2/2018,15:00,-0.609,-,-0.18
7/2/2018,16:00,-0.511,-,0.03
7/2/2018,17:00,-0.082,-,0.5
7/2/2018,18:00,0.513,-,1.14
7/2/2018,19:00,1.063,-,1.72
7/2/2018,20:00,1.427,-,2.06
7/2/2018,21:00,1.505,-,2.06
7/2/2018,22:00,1.246,-,1.71
7/2/2018,23:00,0.69,-,1.12
7/3/2018,0:00,-0.049,-,0.4
7/3/2018,1:00,-0.811,-,-0.33
7/3/2018,2:00,-1.449,-,-0.9
7/3/2018,3:00,-1.864,-,-1.44
7/3/2018,4:00,-1.951,-,-1.42
7/3/2018,5:00,-1.636,-,-1
7/3/2018,6:00,-1.013,-,-0.4
7/3/2018,7:00,-0.29,-,0.24
7/3/2018,8:00,0.379,-,0.94
7/3/2018,9:00,0.885,-,1.36
7/3/2018,10:00,1.127,-,1.51
7/3/2018,11:00,1.06,-,1.33
7/3/2018,12:00,0.732,-,0.98
7/3/2018,13:00,0.261,-,0.51
7/3/2018,14:00,-0.208,-,0.03
7/3/2018,15:00,-0.561,-,-0.37
7/3/2018,16:00,-0.697,-,-0.41
7/3/2018,17:00,-0.507,-,-0.15
7/3/2018,18:00,-0.02,-,0.34
7/3/2018,19:00,0.565,-,1.03
7/3/2018,20:00,1.054,-,1.6
7/3/2018,21:00,1.345,-,2.08
7/3/2018,22:00,1.352,-,1.77
7/3/2018,23:00,1.031,-,1.08
7/4/2018,0:00,0.441,-,0.61
7/4/2018,1:00,-0.282,-,-0.06
7/4/2018,2:00,-0.975,-,-0.81
7/4/2018,3:00,-1.508,-,-1.27
7/4/2018,4:00,-1.793,-,-1.58
7/4/2018,5:00,-1.73,-,-1.66
7/4/2018,6:00,-1.286,-,-1.04
7/4/2018,7:00,-0.611,-,-0.41
7/4/2018,8:00,0.087,-,0.24
7/4/2018,9:00,0.684,-,0.91
7/4/2018,10:00,1.086,-,1.45
7/4/2018,11:00,1.197,-,1.64
7/4/2018,12:00,1.003,-,1.4
7/4/2018,13:00,0.586,-,0.92
7/4/2018,14:00,0.08,-,0.29
7/4/2018,15:00,-0.383,-,-0.24
7/4/2018,16:00,-0.705,-,-0.55
7/4/2018,17:00,-0.783,-,-0.53
7/4/2018,18:00,-0.535,-,-0.15
7/4/2018,19:00,-0.037,-,0.47
7/4/2018,20:00,0.508,-,1.27
7/4/2018,21:00,0.948,-,1.62
7/4/2018,22:00,1.197,-,1.86
7/4/2018,23:00,1.166,-,1.68
7/5/2018,0:00,0.824,-,1.28
7/5/2018,1:00,0.253,-,0.67
7/5/2018,2:00,-0.41,-,-0.14
7/5/2018,3:00,-1.015,-,-0.76
7/5/2018,4:00,-1.448,-,-1.28
7/5/2018,5:00,-1.619,-,-1.4
7/5/2018,6:00,-1.441,-,-0.99
7/5/2018,7:00,-0.927,-,-0.51
7/5/2018,8:00,-0.25,-,0.19
7/5/2018,9:00,0.406,-,0.93
7/5/2018,10:00,0.935,-,1.5
7/5/2018,11:00,1.236,-,1.74
7/5/2018,12:00,1.232,-,1.64
7/5/2018,13:00,0.943,-,1.2
7/5/2018,14:00,0.469,-,0.65
7/5/2018,15:00,-0.065,-,0.05
7/5/2018,16:00,-0.534,-,-0.4
7/5/2018,17:00,-0.842,-,-0.66
7/5/2018,18:00,-0.896,-,-0.58
7/5/2018,19:00,-0.64,-,-0.11
7/5/2018,20:00,-0.169,-,0.45
7/5/2018,21:00,0.339,-,1.03
7/5/2018,22:00,0.76,-,1.66
7/5/2018,23:00,1.003,-,1.68
7/6/2018,0:00,0.978,-,1.56
7/6/2018,1:00,0.673,-,1.14
7/6/2018,2:00,0.169,-,0.65
7/6/2018,3:00,-0.413,-,0.1
7/6/2018,4:00,-0.935,-,-0.36
7/6/2018,5:00,-1.282,-,-0.77
7/6/2018,6:00,-1.372,-,-0.81
7/6/2018,7:00,-1.135,-,-0.73
7/6/2018,8:00,-0.604,-,-0.1
7/6/2018,9:00,0.053,-,0.55
7/6/2018,10:00,0.669,-,1.22
7/6/2018,11:00,1.136,-,1.67
7/6/2018,12:00,1.354,-,1.81
7/6/2018,13:00,1.268,-,1.57
7/6/2018,14:00,0.916,-,1.2
7/6/2018,15:00,0.39,-,0.7
7/6/2018,16:00,-0.183,-,0.12
7/6/2018,17:00,-0.676,-,-0.4
7/6/2018,18:00,-1.004,-,-0.62
7/6/2018,19:00,-1.081,-,-0.66
7/6/2018,20:00,-0.856,-,-0.39
7/6/2018,21:00,-0.415,-,0.1
7/6/2018,22:00,0.082,-,0.65
7/6/2018,23:00,0.519,-,1.13
7/7/2018,0:00,0.802,-,1.44
7/7/2018,1:00,0.841,-,1.46
7/7/2018,2:00,0.621,-,1.18
7/7/2018,3:00,0.202,-,0.55
7/7/2018,4:00,-0.303,-,0.14
7/7/2018,5:00,-0.755,-,-0.34
7/7/2018,6:00,-1.049,-,-0.6
7/7/2018,7:00,-1.109,-,-0.66
7/7/2018,8:00,-0.86,-,-0.4
7/7/2018,9:00,-0.333,-,0.16
7/7/2018,10:00,0.303,-,0.75
7/7/2018,11:00,0.886,-,1.4
7/7/2018,12:00,1.31,-,1.87
7/7/2018,13:00,1.478,-,2.08
7/7/2018,14:00,1.339,-,1.87
7/7/2018,15:00,0.926,-,1.47
7/7/2018,16:00,0.337,-,0.88
7/7/2018,17:00,-0.29,-,0.25
7/7/2018,18:00,-0.837,-,-0.39
7/7/2018,19:00,-1.229,-,-0.94
7/7/2018,20:00,-1.363,-,-1.12
7/7/2018,21:00,-1.173,-,-0.93
7/7/2018,22:00,-0.743,-,-0.49
7/7/2018,23:00,-0.226,-,0.13
7/8/2018,0:00,0.271,-,0.84
7/8/2018,1:00,0.647,-,1.28
7/8/2018,2:00,0.794,-,1.53
7/8/2018,3:00,0.671,-,1.39
7/8/2018,4:00,0.329,-,0.99
7/8/2018,5:00,-0.113,-,0.49
7/8/2018,6:00,-0.522,-,-0.07
7/8/2018,7:00,-0.808,-,-0.44
7/8/2018,8:00,-0.879,-,-0.58
7/8/2018,9:00,-0.633,-,-0.34
7/8/2018,10:00,-0.11,-,0.08
7/8/2018,11:00,0.511,-,0.74
7/8/2018,12:00,1.08,-,1.35
7/8/2018,13:00,1.492,-,1.88
7/8/2018,14:00,1.634,-,1.9
7/8/2018,15:00,1.443,-,1.74
7/8/2018,16:00,0.957,-,1.28
7/8/2018,17:00,0.293,-,0.57
7/8/2018,18:00,-0.41,-,-0.12
7/8/2018,19:00,-1.048,-,-0.81
7/8/2018,20:00,-1.531,-,-1.38
7/8/2018,21:00,-1.722,-,-1.53
7/8/2018,22:00,-1.548,-,-1.32
7/8/2018,23:00,-1.104,-,-0.79
7/9/2018,0:00,-0.53,-,-0.14
7/9/2018,1:00,0.075,-,0.61
7/9/2018,2:00,0.578,-,1.18
7/9/2018,3:00,0.833,-,1.48
7/9/2018,4:00,0.792,-,1.38
7/9/2018,5:00,0.51,-,1.12
7/9/2018,6:00,0.107,-,0.64
7/9/2018,7:00,-0.3,-,0.09
7/9/2018,8:00,-0.612,-,-0.41
7/9/2018,9:00,-0.698,-,-0.67
7/9/2018,10:00,-0.451,-,-0.53
7/9/2018,11:00,0.073,-,-0.07
7/9/2018,12:00,0.697,-,0.56
7/9/2018,13:00,1.283,-,1.26
7/9/2018,14:00,1.704,-,1.76
7/9/2018,15:00,1.816,-,2.01
7/9/2018,16:00,1.556,-,1.78
7/9/2018,17:00,0.987,-,1.25
7/9/2018,18:00,0.235,-,0.53
7/9/2018,19:00,-0.568,-,-0.35
7/9/2018,20:00,-1.315,-,-1.2
7/9/2018,21:00,-1.88,-,-1.9
7/9/2018,22:00,-2.105,-,-1.96
7/9/2018,23:00,-1.926,-,-1.99
7/10/2018,0:00,-1.438,-,-1.43
7/10/2018,1:00,-0.765,-,-0.62
7/10/2018,2:00,-0.027,-,0.27
7/10/2018,3:00,0.591,-,0.93
7/10/2018,4:00,0.927,-,1.4
7/10/2018,5:00,0.941,-,1.5
7/10/2018,6:00,0.693,-,1.29
7/10/2018,7:00,0.293,-,0.75
7/10/2018,8:00,-0.138,-,0.17
7/10/2018,9:00,-0.477,-,-0.35
7/10/2018,10:00,-0.569,-,-0.58
7/10/2018,11:00,-0.312,-,-0.44
7/10/2018,12:00,0.228,-,0.1
7/10/2018,13:00,0.884,-,0.85
7/10/2018,14:00,1.508,-,1.65
7/10/2018,15:00,1.93,-,2.22
7/10/2018,16:00,1.991,-,2.43
7/10/2018,17:00,1.654,-,2.11
7/10/2018,18:00,0.996,-,1.42
7/10/2018,19:00,0.144,-,0.56
7/10/2018,20:00,-0.764,-,-0.34
7/10/2018,21:00,-1.603,-,-1.24
7/10/2018,22:00,-2.223,-,-2.01
7/10/2018,23:00,-2.458,-,-2.41
7/11/2018,0:00,-2.247,-,-2.05
7/11/2018,1:00,-1.679,-,-1.41
7/11/2018,2:00,-0.886,-,-0.5
7/11/2018,3:00,-0.034,-,0.43
7/11/2018,4:00,0.66,-,1.26
7/11/2018,5:00,1.041,-,1.82
7/11/2018,6:00,1.077,-,1.82
7/11/2018,7:00,0.826,-,1.43
7/11/2018,8:00,0.405,-,0.82
7/11/2018,9:00,-0.052,-,0.21
7/11/2018,10:00,-0.407,-,-0.29
7/11/2018,11:00,-0.496,-,-0.34
7/11/2018,12:00,-0.213,-,-0.11
7/11/2018,13:00,0.369,-,0.49
7/11/2018,14:00,1.077,-,1.32
7/11/2018,15:00,1.73,-,2.11
7/11/2018,16:00,2.13,-,2.63
7/11/2018,17:00,2.131,-,2.7
7/11/2018,18:00,1.715,-,2.19
7/11/2018,19:00,0.965,-,1.47
7/11/2018,20:00,0.02,-,0.49
7/11/2018,21:00,-0.967,-,-0.52
7/11/2018,22:00,-1.864,-,-1.47
7/11/2018,23:00,-2.512,-,-2.2
7/12/2018,0:00,-2.727,-,-2.58
7/12/2018,1:00,-2.448,-,-2.16
7/12/2018,2:00,-1.78,-,-1.38
7/12/2018,3:00,-0.886,-,-0.34
7/12/2018,4:00,0.036,-,0.7
7/12/2018,5:00,0.761,-,1.61
7/12/2018,6:00,1.145,-,2.17
7/12/2018,7:00,1.161,-,2.09
7/12/2018,8:00,0.88,-,1.61
7/12/2018,9:00,0.435,-,1.06
7/12/2018,10:00,-0.041,-,0.41
7/12/2018,11:00,-0.408,-,-0.14
7/12/2018,12:00,-0.478,-,-0.29
7/12/2018,13:00,-0.145,-,0.11
7/12/2018,14:00,0.499,-,0.84
7/12/2018,15:00,1.25,-,1.77
7/12/2018,16:00,1.909,-,2.57
7/12/2018,17:00,2.275,-,3.08
7/12/2018,18:00,2.212,-,2.99
7/12/2018,19:00,1.717,-,2.35
7/12/2018,20:00,0.889,-,1.49
7/12/2018,21:00,-0.113,-,0.4
7/12/2018,22:00,-1.141,-,-0.72
7/12/2018,23:00,-2.068,-,-1.69
7/13/2018,0:00,-2.709,-,-2.5
7/13/2018,1:00,-2.86,-,-2.71
7/13/2018,2:00,-2.488,-,-2.12
7/13/2018,3:00,-1.733,-,-1.28
7/13/2018,4:00,-0.777,-,-0.19
7/13/2018,5:00,0.168,-,0.81
7/13/2018,6:00,0.877,-,1.58
7/13/2018,7:00,1.215,-,2.04
7/13/2018,8:00,1.179,-,1.99
7/13/2018,9:00,0.861,-,1.45
7/13/2018,10:00,0.391,-,0.8
7/13/2018,11:00,-0.109,-,0.11
7/13/2018,12:00,-0.479,-,-0.47
7/13/2018,13:00,-0.506,-,-0.53
7/13/2018,14:00,-0.102,-,-0.09
7/13/2018,15:00,0.594,-,0.65
7/13/2018,16:00,1.369,-,1.62
7/13/2018,17:00,2.018,-,2.43
7/13/2018,18:00,2.341,-,2.86
7/13/2018,19:00,2.212,-,2.67
7/13/2018,20:00,1.653,-,2.05
7/13/2018,21:00,0.787,-,1.12
7/13/2018,22:00,-0.233,-,0.05
7/13/2018,23:00,-1.273,-,-1.02
7/14/2018,0:00,-2.195,-,-1.99
7/14/2018,1:00,-2.778,-,-2.71
7/14/2018,2:00,-2.828,-,-2.82
7/14/2018,3:00,-2.363,-,-2.18
7/14/2018,4:00,-1.548,-,-1.35
7/14/2018,5:00,-0.569,-,-0.28
7/14/2018,6:00,0.353,-,0.73
7/14/2018,7:00,0.993,-,1.45
7/14/2018,8:00,1.248,-,1.78
7/14/2018,9:00,1.146,-,1.6
7/14/2018,10:00,0.782,-,1.02
7/14/2018,11:00,0.274,-,0.35
7/14/2018,12:00,-0.251,-,-0.33
7/14/2018,13:00,-0.602,-,-0.83
7/14/2018,14:00,-0.563,-,-0.74
7/14/2018,15:00,-0.096,-,-0.22
7/14/2018,16:00,0.633,-,0.64
7/14/2018,17:00,1.413,-,1.67
7/14/2018,18:00,2.039,-,2.52
7/14/2018,19:00,2.308,-,2.92
7/14/2018,20:00,2.121,-,2.64
7/14/2018,21:00,1.533,-,1.98
7/14/2018,22:00,0.666,-,1.01
7/14/2018,23:00,-0.343,-,-0.02
7/15/2018,0:00,-1.363,-,-1.03
7/15/2018,1:00,-2.225,-,-1.95
7/15/2018,2:00,-2.699,-,-2.61
7/15/2018,3:00,-2.633,-,-2.6
7/15/2018,4:00,-2.088,-,-1.9
7/15/2018,5:00,-1.239,-,-0.99
7/15/2018,6:00,-0.276,-,0.01
7/15/2018,7:00,0.569,-,0.92
7/15/2018,8:00,1.1,-,1.57
7/15/2018,9:00,1.255,-,1.81
7/15/2018,10:00,1.076,-,1.49
7/15/2018,11:00,0.649,-,0.93
7/15/2018,12:00,0.095,-,0.23
7/15/2018,13:00,-0.44,-,-0.42
7/15/2018,14:00,-0.748,-,-0.75
7/15/2018,15:00,-0.644,-,-0.62
7/15/2018,16:00,-0.133,-,-0.09
7/15/2018,17:00,0.609,-,0.74
7/15/2018,18:00,1.375,-,1.76
7/15/2018,19:00,1.956,-,2.57
7/15/2018,20:00,2.167,-,2.83
7/15/2018,21:00,1.95,-,2.56
7/15/2018,22:00,1.365,-,1.97
7/15/2018,23:00,0.521,-,1.05
7/16/2018,0:00,-0.447,-,0.04
7/16/2018,1:00,-1.395,-,-0.91
7/16/2018,2:00,-2.144,-,-1.74
7/16/2018,3:00,-2.48,-,-2.18
7/16/2018,4:00,-2.296,-,-1.92
7/16/2018,5:00,-1.685,-,-1.21
7/16/2018,6:00,-0.832,-,-0.24
7/16/2018,7:00,0.067,-,0.69
7/16/2018,8:00,0.796,-,1.49
7/16/2018,9:00,1.201,-,2.01
7/16/2018,10:00,1.246,-,2.1
7/16/2018,11:00,0.971,-,1.76
7/16/2018,12:00,0.473,-,0.97
7/16/2018,13:00,-0.113,-,0.29
7/16/2018,14:00,-0.635,-,-0.26
7/16/2018,15:00,-0.896,-,-0.58
7/16/2018,16:00,-0.741,-,-0.26
7/16/2018,17:00,-0.205,-,0.22
7/16/2018,18:00,0.524,-,1.11
7/16/2018,19:00,1.243,-,2
7/16/2018,20:00,1.764,-,2.57
7/16/2018,21:00,1.933,-,2.77
7/16/2018,22:00,1.711,-,2.4
7/16/2018,23:00,1.148,-,1.8
7/17/2018,0:00,0.353,-,0.94
7/17/2018,1:00,-0.53,-,0.03
7/17/2018,2:00,-1.355,-,-0.77
7/17/2018,3:00,-1.957,-,-1.48
7/17/2018,4:00,-2.143,-,-1.81
7/17/2018,5:00,-1.847,-,-1.38
7/17/2018,6:00,-1.195,-,-0.77
7/17/2018,7:00,-0.38,-,0.17
7/17/2018,8:00,0.418,-,1.07
7/17/2018,9:00,1.017,-,1.75
7/17/2018,10:00,1.29,-,2.07
7/17/2018,11:00,1.213,-,1.97
7/17/2018,12:00,0.839,-,1.46
7/17/2018,13:00,0.287,-,0.87
7/17/2018,14:00,-0.307,-,0.22
7/17/2018,15:00,-0.807,-,-0.42
7/17/2018,16:00,-1.027,-,-0.52
7/17/2018,17:00,-0.837,-,-0.3
7/17/2018,18:00,-0.308,-,0.29
7/17/2018,19:00,0.367,-,1.05
7/17/2018,20:00,1.018,-,1.69
7/17/2018,21:00,1.484,-,2.23
7/17/2018,22:00,1.632,-,2.25
7/17/2018,23:00,1.419,-,1.89
7/18/2018,0:00,0.898,-,1.36
7/18/2018,1:00,0.191,-,0.65
7/18/2018,2:00,-0.561,-,-0.1
7/18/2018,3:00,-1.238,-,-0.73
7/18/2018,4:00,-1.681,-,-1.19
7/18/2018,5:00,-1.719,-,-1.11
7/18/2018,6:00,-1.334,-,-0.66
7/18/2018,7:00,-0.685,-,-0.04
7/18/2018,8:00,0.057,-,0.76
7/18/2018,9:00,0.744,-,1.46
7/18/2018,10:00,1.212,-,1.99
7/18/2018,11:00,1.351,-,1.93
7/18/2018,12:00,1.156,-,1.69
7/18/2018,13:00,0.708,-,1.22
7/18/2018,14:00,0.132,-,0.76
7/18/2018,15:00,-0.459,-,0.05
7/18/2018,16:00,-0.939,-,-0.4
7/18/2018,17:00,-1.129,-,-0.58
7/18/2018,18:00,-0.934,-,-0.4
7/18/2018,19:00,-0.456,-,0.07
7/18/2018,20:00,0.138,-,0.73
7/18/2018,21:00,0.721,-,1.35
7/18/2018,22:00,1.15,-,1.78
7/18/2018,23:00,1.289,-,1.85
7/19/2018,0:00,1.104,-,1.51
7/19/2018,1:00,0.663,-,1.08
7/19/2018,2:00,0.08,-,0.56
7/19/2018,3:00,-0.526,-,-0.03
7/19/2018,4:00,-1.051,-,-0.49
7/19/2018,5:00,-1.341,-,-0.7
7/19/2018,6:00,-1.257,-,-0.5
7/19/2018,7:00,-0.833,-,-0.06
7/19/2018,8:00,-0.225,-,0.66
7/19/2018,9:00,0.434,-,1.37
7/19/2018,10:00,1.015,-,1.89
7/19/2018,11:00,1.358,-,2.2
7/19/2018,12:00,1.377,-,2.18
7/19/2018,13:00,1.098,-,1.9
7/19/2018,14:00,0.613,-,1.47
7/19/2018,15:00,0.028,-,0.87
7/19/2018,16:00,-0.559,-,0.12
7/19/2018,17:00,-1.026,-,-0.18
7/19/2018,18:00,-1.209,-,-0.58
7/19/2018,19:00,-1.053,-,-0.42
7/19/2018,20:00,-0.659,-,-0.14
7/19/2018,21:00,-0.144,-,0.24
7/19/2018,22:00,0.392,-,0.73
7/19/2018,23:00,0.799,-,1.11
7/20/2018,0:00,0.951,-,1.3
7/20/2018,1:00,0.83,-,1.28
7/20/2018,2:00,0.498,-,1.03
7/20/2018,3:00,0.047,-,0.64
7/20/2018,4:00,-0.423,-,0.21
7/20/2018,5:00,-0.813,-,-0.15
7/20/2018,6:00,-0.982,-,-0.31
