Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
4/1/2018,0:00,-2.026,-,-1.4
4/1/2018,1:00,-2.332,-,-1.92
4/1/2018,2:00,-2.117,-,-1.67
4/1/2018,3:00,-1.469,-,-1.03
4/1/2018,4:00,-0.564,-,-0.2
4/1/2018,5:00,0.383,-,0.72
4/1/2018,6:00,1.113,-,1.47
4/1/2018,7:00,1.435,-,1.88
4/1/2018,8:00,1.307,-,1.86
4/1/2018,9:00,0.811,-,1.29
4/1/2018,10:00,0.087,-,0.55
4/1/2018,11:00,-0.728,-,-0.25
4/1/2018,12:00,-1.475,-,-0.98
4/1/2018,13:00,-1.916,-,-1.5
4/1/2018,14:00,-1.866,-,-1.38
4/1/2018,15:00,-1.361,-,-0.75
4/1/2018,16:00,-0.576,-,0.03
4/1/2018,17:00,0.293,-,0.97
4/1/2018,18:00,1.006,-,1.77
4/1/2018,19:00,1.345,-,2.19
4/1/2018,20:00,1.233,-,1.99
4/1/2018,21:00,0.736,-,1.42
4/1/2018,22:00,-0.011,-,0.6
4/1/2018,23:00,-0.869,-,-0.27
4/2/2018,0:00,-1.698,-,-1.1
4/2/2018,1:00,-2.292,-,-1.77
4/2/2018,2:00,-2.426,-,-1.97
4/2/2018,3:00,-2.054,-,-1.45
4/2/2018,4:00,-1.313,-,-0.7
4/2/2018,5:00,-0.39,-,0.3
4/2/2018,6:00,0.498,-,1.18
4/2/2018,7:00,1.103,-,1.81
4/2/2018,8:00,1.28,-,2.02
4/2/2018,9:00,1.045,-,1.66
4/2/2018,10:00,0.504,-,1.11
4/2/2018,11:00,-0.203,-,0.35
4/2/2018,12:00,-0.935,-,-0.36
4/2/2018,13:00,-1.515,-,-0.96
4/2/2018,14:00,-1.723,-,-1.2
4/2/2018,15:00,-1.453,-,-0.76
4/2/2018,16:00,-0.814,-,-0.09
4/2/2018,17:00,-0.004,-,0.81
4/2/2018,18:00,0.775,-,1.68
4/2/2018,19:00,1.294,-,2.26
4/2/2018,20:00,1.391,-,2.3
4/2/2018,21:00,1.066,-,1.87
4/2/2018,22:00,0.422,-,1.12
4/2/2018,23:00,-0.398,-,0.22
4/3/2018,0:00,-1.252,-,-0.7
4/3/2018,1:00,-1.989,-,-1.46
4/3/2018,2:00,-2.416,-,-1.99
4/3/2018,3:00,-2.368,-,-1.83
4/3/2018,4:00,-1.87,-,-1.21
4/3/2018,5:00,-1.085,-,-0.35
4/3/2018,6:00,-0.202,-,0.64
4/3/2018,7:00,0.566,-,1.38
4/3/2018,8:00,1.011,-,1.85
4/3/2018,9:00,1.054,-,1.86
4/3/2018,10:00,0.74,-,1.41
4/3/2018,11:00,0.183,-,0.75
4/3/2018,12:00,-0.472,-,0.07
4/3/2018,13:00,-1.072,-,-0.53
4/3/2018,14:00,-1.448,-,-0.91
4/3/2018,15:00,-1.429,-,-0.76
4/3/2018,16:00,-0.984,-,-0.22
4/3/2018,17:00,-0.274,-,0.56
4/3/2018,18:00,0.493,-,1.44
4/3/2018,19:00,1.117,-,2.18
4/3/2018,20:00,1.411,-,2.49
4/3/2018,21:00,1.287,-,2.22
4/3/2018,22:00,0.795,-,1.56
4/3/2018,23:00,0.055,-,0.76
4/4/2018,0:00,-0.781,-,-0.11
4/4/2018,1:00,-1.562,-,-0.94
4/4/2018,2:00,-2.152,-,-1.62
4/4/2018,3:00,-2.396,-,-1.86
4/4/2018,4:00,-2.191,-,-1.42
4/4/2018,5:00,-1.611,-,-0.72
4/4/2018,6:00,-0.839,-,0.22
4/4/2018,7:00,-0.054,-,1.05
4/4/2018,8:00,0.561,-,1.64
4/4/2018,9:00,0.856,-,1.92
4/4/2018,10:00,0.793,-,1.65
4/4/2018,11:00,0.43,-,1.17
4/4/2018,12:00,-0.109,-,0.56
4/4/2018,13:00,-0.666,-,-0.02
4/4/2018,14:00,-1.101,-,-0.49
4/4/2018,15:00,-1.277,-,-0.55
4/4/2018,16:00,-1.072,-,-0.16
4/4/2018,17:00,-0.515,-,0.51
4/4/2018,18:00,0.195,-,1.38
4/4/2018,19:00,0.849,-,2.05
4/4/2018,20:00,1.282,-,2.51
4/4/2018,21:00,1.368,-,2.34
4/4/2018,22:00,1.072,-,1.8
4/4/2018,23:00,0.467,-,1.04
4/5/2018,0:00,-0.31,-,0.07
4/5/2018,1:00,-1.093,-,-0.77
4/5/2018,2:00,-1.748,-,-1.43
4/5/2018,3:00,-2.177,-,-1.94
4/5/2018,4:00,-2.26,-,-2.12
4/5/2018,5:00,-1.94,-,-1.75
4/5/2018,6:00,-1.338,-,-1.22
4/5/2018,7:00,-0.639,-,-0.66
4/5/2018,8:00,0.014,-,-0.13
4/5/2018,9:00,0.485,-,0.14
