Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
9/1/2018,0:00,0.757,-,1.82
9/1/2018,1:00,0.112,-,0.72
9/1/2018,2:00,-0.504,-,0.01
9/1/2018,3:00,-0.947,-,-0.61
9/1/2018,4:00,-1.114,-,-0.78
9/1/2018,5:00,-0.899,-,-0.4
9/1/2018,6:00,-0.299,-,0.23
9/1/2018,7:00,0.486,-,1.01
9/1/2018,8:00,1.196,-,1.71
9/1/2018,9:00,1.676,-,2.17
9/1/2018,10:00,1.832,-,2.16
9/1/2018,11:00,1.607,-,1.83
9/1/2018,12:00,1.054,-,1.32
9/1/2018,13:00,0.318,-,0.65
9/1/2018,14:00,-0.429,-,-0.04
9/1/2018,15:00,-1.041,-,-0.75
9/1/2018,16:00,-1.425,-,-1.22
9/1/2018,17:00,-1.489,-,-1.24
9/1/2018,18:00,-1.166,-,-0.89
9/1/2018,19:00,-0.553,-,-0.31
9/1/2018,20:00,0.13,-,0.83
9/1/2018,21:00,0.72,-,1.02
9/1/2018,22:00,1.119,-,1.57
9/1/2018,23:00,1.227,-,1.64
9/2/2018,0:00,1.016,-,1.31
9/2/2018,1:00,0.568,-,0.93
9/2/2018,2:00,0.025,-,0.37
9/2/2018,3:00,-0.464,-,-0.12
9/2/2018,4:00,-0.779,-,-0.33
9/2/2018,5:00,-0.824,-,-0.29
9/2/2018,6:00,-0.516,-,0.06
9/2/2018,7:00,0.106,-,0.64
9/2/2018,8:00,0.828,-,1.31
9/2/2018,9:00,1.435,-,1.79
9/2/2018,10:00,1.802,-,2.19
9/2/2018,11:00,1.839,-,2.11
9/2/2018,12:00,1.514,-,1.89
9/2/2018,13:00,0.909,-,1.31
9/2/2018,14:00,0.174,-,0.58
9/2/2018,15:00,-0.542,-,-0.19
9/2/2018,16:00,-1.115,-,-0.79
9/2/2018,17:00,-1.464,-,-1.27
9/2/2018,18:00,-1.509,-,-1.18
9/2/2018,19:00,-1.207,-,-0.83
9/2/2018,20:00,-0.662,-,-0.05
9/2/2018,21:00,-0.057,-,0.3
9/2/2018,22:00,0.484,-,0.82
9/2/2018,23:00,0.864,-,1.26
9/3/2018,0:00,0.988,-,1.54
9/3/2018,1:00,0.841,-,1.12
9/3/2018,2:00,0.5,-,0.81
9/3/2018,3:00,0.077,-,0.34
9/3/2018,4:00,-0.299,-,-0.03
9/3/2018,5:00,-0.523,-,-0.27
9/3/2018,6:00,-0.51,-,-0.19
9/3/2018,7:00,-0.194,-,0.38
9/3/2018,8:00,0.376,-,0.77
9/3/2018,9:00,1.01,-,1.24
9/3/2018,10:00,1.528,-,1.83
9/3/2018,11:00,1.82,-,2.01
9/3/2018,12:00,1.799,-,1.99
9/3/2018,13:00,1.454,-,1.59
9/3/2018,14:00,0.868,-,1.02
9/3/2018,15:00,0.164,-,0.45
9/3/2018,16:00,-0.524,-,-0.25
9/3/2018,17:00,-1.087,-,-0.83
9/3/2018,18:00,-1.457,-,-1.2
9/3/2018,19:00,-1.557,-,-1.17
9/3/2018,20:00,-1.338,-,-0.99
9/3/2018,21:00,-0.882,-,-0.41
9/3/2018,22:00,-0.336,-,0
9/3/2018,23:00,0.193,-,0.28
9/4/2018,0:00,0.607,-,0.56
9/4/2018,1:00,0.811,-,0.58
9/4/2018,2:00,0.781,-,0.56
9/4/2018,3:00,0.559,-,0.55
9/4/2018,4:00,0.237,-,0.28
9/4/2018,5:00,-0.065,-,0.05
9/4/2018,6:00,-0.26,-,0.25
9/4/2018,7:00,-0.27,-,0.02
9/4/2018,8:00,-0.014,-,0.26
9/4/2018,9:00,0.477,-,0.77
9/4/2018,10:00,1.035,-,1.4
9/4/2018,11:00,1.504,-,1.9
9/4/2018,12:00,1.781,-,2.35
9/4/2018,13:00,1.783,-,2.39
9/4/2018,14:00,1.488,-,2.21
9/4/2018,15:00,0.952,-,1.95
9/4/2018,16:00,0.279,-,1.38
9/4/2018,17:00,-0.403,-,0.91
9/4/2018,18:00,-1.002,-,0.4
9/4/2018,19:00,-1.458,-,0.2
9/4/2018,20:00,-1.667,-,-0.16
9/4/2018,21:00,-1.548,-,-0.31
9/4/2018,22:00,-1.165,-,-0.12
9/4/2018,23:00,-0.644,-,0.63
9/5/2018,0:00,-0.077,-,0.44
9/5/2018,1:00,0.429,-,0.84
9/5/2018,2:00,0.754,-,0.88
9/5/2018,3:00,0.84,-,1.04
9/5/2018,4:00,0.708,-,1.05
9/5/2018,5:00,0.446,-,0.91
9/5/2018,6:00,0.156,-,0.71
9/5/2018,7:00,-0.086,-,0.55
9/5/2018,8:00,-0.179,-,0.42
9/5/2018,9:00,-0.005,-,0.47
9/5/2018,10:00,0.419,-,0.79
9/5/2018,11:00,0.937,-,1.13
9/5/2018,12:00,1.414,-,1.61
9/5/2018,13:00,1.752,-,2
9/5/2018,14:00,1.841,-,2.21
9/5/2018,15:00,1.623,-,2.04
9/5/2018,16:00,1.135,-,1.76
9/5/2018,17:00,0.477,-,1.18
9/5/2018,18:00,-0.235,-,0.61
9/5/2018,19:00,-0.924,-,-0.1
9/5/2018,20:00,-1.506,-,-0.71
9/5/2018,21:00,-1.828,-,-1.22
9/5/2018,22:00,-1.787,-,-1.01
9/5/2018,23:00,-1.442,-,-0.96
9/6/2018,0:00,-0.896,-,-0.49
9/6/2018,1:00,-0.238,-,0.27
9/6/2018,2:00,0.391,-,0.96
9/6/2018,3:00,0.825,-,1.4
9/6/2018,4:00,0.985,-,1.59
9/6/2018,5:00,0.892,-,1.52
9/6/2018,6:00,0.627,-,1.19
9/6/2018,7:00,0.278,-,0.82
9/6/2018,8:00,-0.067,-,0.38
9/6/2018,9:00,-0.257,-,0.16
9/6/2018,10:00,-0.149,-,0.14
9/6/2018,11:00,0.239,-,0.42
9/6/2018,12:00,0.769,-,0.96
9/6/2018,13:00,1.326,-,1.57
9/6/2018,14:00,1.78,-,2.17
9/6/2018,15:00,1.971,-,2.48
9/6/2018,16:00,1.82,-,2.36
9/6/2018,17:00,1.362,-,1.96
9/6/2018,18:00,0.69,-,1.29
9/6/2018,19:00,-0.092,-,0.47
9/6/2018,20:00,-0.899,-,-0.4
9/6/2018,21:00,-1.598,-,-1.2
9/6/2018,22:00,-1.996,-,-1.66
9/6/2018,23:00,-1.991,-,-1.65
9/7/2018,0:00,-1.631,-,-1.27
9/7/2018,1:00,-1.004,-,-0.41
9/7/2018,2:00,-0.226,-,0.4
9/7/2018,3:00,0.503,-,1.12
9/7/2018,4:00,0.992,-,1.74
9/7/2018,5:00,1.166,-,1.86
9/7/2018,6:00,1.047,-,1.74
9/7/2018,7:00,0.709,-,1.25
9/7/2018,8:00,0.249,-,0.78
9/7/2018,9:00,-0.208,-,0.14
9/7/2018,10:00,-0.475,-,-0.23
9/7/2018,11:00,-0.401,-,-0.26
9/7/2018,12:00,-0.002,-,0.15
9/7/2018,13:00,0.604,-,0.82
9/7/2018,14:00,1.286,-,1.63
9/7/2018,15:00,1.859,-,2.42
9/7/2018,16:00,2.13,-,2.84
9/7/2018,17:00,2.02,-,2.86
9/7/2018,18:00,1.562,-,2.33
9/7/2018,19:00,0.843,-,1.53
9/7/2018,20:00,-0.028,-,0.58
9/7/2018,21:00,-0.932,-,-0.34
9/7/2018,22:00,-1.7,-,-1.2
9/7/2018,23:00,-2.122,-,-1.78
9/8/2018,0:00,-2.093,-,-1.53
9/8/2018,1:00,-1.655,-,-1.01
9/8/2018,2:00,-0.913,-,-0.26
9/8/2018,3:00,-0.037,-,0.73
9/8/2018,4:00,0.732,-,1.58
9/8/2018,5:00,1.208,-,2.13
9/8/2018,6:00,1.326,-,2.29
9/8/2018,7:00,1.111,-,1.96
9/8/2018,8:00,0.654,-,1.39
9/8/2018,9:00,0.075,-,0.79
9/8/2018,10:00,-0.474,-,0.11
9/8/2018,11:00,-0.785,-,-0.3
9/8/2018,12:00,-0.7,-,-0.23
9/8/2018,13:00,-0.231,-,0.33
9/8/2018,14:00,0.491,-,1.1
9/8/2018,15:00,1.294,-,2.07
9/8/2018,16:00,1.952,-,2.8
