Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
12/1/2017,0:00,-0.747,-,-0.28
12/1/2017,1:00,-0.11,-,0.48
12/1/2017,2:00,0.569,-,1.31
12/1/2017,3:00,1.113,-,1.99
12/1/2017,4:00,1.339,-,2.27
12/1/2017,5:00,1.178,-,2.04
12/1/2017,6:00,0.676,-,1.4
12/1/2017,7:00,-0.063,-,0.56
12/1/2017,8:00,-0.903,-,-0.37
12/1/2017,9:00,-1.711,-,-1.23
12/1/2017,10:00,-2.316,-,-1.92
12/1/2017,11:00,-2.533,-,-2.22
12/1/2017,12:00,-2.298,-,-1.77
12/1/2017,13:00,-1.704,-,-1.05
12/1/2017,14:00,-0.887,-,-0.15
12/1/2017,15:00,-0.026,-,0.76
12/1/2017,16:00,0.651,-,1.47
12/1/2017,17:00,0.983,-,1.86
12/1/2017,18:00,0.935,-,1.77
12/1/2017,19:00,0.568,-,1.23
12/1/2017,20:00,0.007,-,0.54
12/1/2017,21:00,-0.602,-,-0.18
12/1/2017,22:00,-1.104,-,-0.69
12/1/2017,23:00,-1.312,-,-0.92
12/2/2017,0:00,-1.106,-,-0.58
12/2/2017,1:00,-0.551,-,0.11
12/2/2017,2:00,0.184,-,1.03
12/2/2017,3:00,0.917,-,1.96
12/2/2017,4:00,1.432,-,2.58
12/2/2017,5:00,1.558,-,2.69
12/2/2017,6:00,1.254,-,2.22
12/2/2017,7:00,0.585,-,1.44
12/2/2017,8:00,-0.315,-,0.45
12/2/2017,9:00,-1.283,-,-0.56
12/2/2017,10:00,-2.17,-,-1.49
12/2/2017,11:00,-2.791,-,-2.22
12/2/2017,12:00,-2.95,-,-2.49
12/2/2017,13:00,-2.593,-,-1.93
12/2/2017,14:00,-1.841,-,-1.14
12/2/2017,15:00,-0.874,-,-0.08
12/2/2017,16:00,0.089,-,0.89
12/2/2017,17:00,0.807,-,1.65
12/2/2017,18:00,1.13,-,2.08
12/2/2017,19:00,1.037,-,1.89
12/2/2017,20:00,0.611,-,1.37
12/2/2017,21:00,0.004,-,0.63
12/2/2017,22:00,-0.626,-,-0.07
12/2/2017,23:00,-1.115,-,-0.64
12/3/2017,0:00,-1.258,-,-0.66
12/3/2017,1:00,-0.945,-,-0.18
12/3/2017,2:00,-0.277,-,0.58
