Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
1/1/2018,0:00,-1.127,-,-0.64
1/1/2018,1:00,-0.696,-,-0.07
1/1/2018,2:00,-0.003,-,0.79
1/1/2018,3:00,0.757,-,1.46
1/1/2018,4:00,1.369,-,2.22
1/1/2018,5:00,1.629,-,2.48
1/1/2018,6:00,1.438,-,1.83
1/1/2018,7:00,0.825,-,1.11
1/1/2018,8:00,-0.093,-,0.19
1/1/2018,9:00,-1.156,-,-0.77
1/1/2018,10:00,-2.214,-,-1.79
1/1/2018,11:00,-3.105,-,-2.72
1/1/2018,12:00,-3.601,-,-3.46
1/1/2018,13:00,-3.545,-,-3.62
1/1/2018,14:00,-2.977,-,-3.24
1/1/2018,15:00,-2.058,-,-2.69
1/1/2018,16:00,-0.993,-,-1.98
1/1/2018,17:00,-0.033,-,-1.13
1/1/2018,18:00,0.604,-,-0.65
1/1/2018,19:00,0.822,-,-0.43
1/1/2018,20:00,0.651,-,-0.58
1/1/2018,21:00,0.207,-,-0.89
1/1/2018,22:00,-0.361,-,-1.41
1/1/2018,23:00,-0.907,-,-1.98
1/2/2018,0:00,-1.223,-,-2.37
1/2/2018,1:00,-1.113,-,-2.51
1/2/2018,2:00,-0.579,-,-2.27
1/2/2018,3:00,0.194,-,-2.04
1/2/2018,4:00,0.987,-,-1.51
1/2/2018,5:00,1.574,-,-1.18
1/2/2018,6:00,1.756,-,-0.87
1/2/2018,7:00,1.454,-,-0.87
1/2/2018,8:00,0.728,-,-1.29
1/2/2018,9:00,-0.277,-,-1.88
1/2/2018,10:00,-1.393,-,-2.62
1/2/2018,11:00,-2.479,-,-3.48
1/2/2018,12:00,-3.348,-,-4.25
1/2/2018,13:00,-3.752,-,-4.83
1/2/2018,14:00,-3.562,-,-5.17
1/2/2018,15:00,-2.871,-,-4.84
1/2/2018,16:00,-1.871,-,-4.15
1/2/2018,17:00,-0.778,-,-3.3
1/2/2018,18:00,0.148,-,-2.36
1/2/2018,19:00,0.7,-,-1.6
1/2/2018,20:00,0.819,-,-1.13
1/2/2018,21:00,0.567,-,-1
1/2/2018,22:00,0.073,-,-1.06
1/2/2018,23:00,-0.525,-,-1.41
1/3/2018,0:00,-1.064,-,-1.83
1/3/2018,1:00,-1.311,-,-2.05
1/3/2018,2:00,-1.089,-,-2.12
1/3/2018,3:00,-0.462,-,-1.68
1/3/2018,4:00,0.358,-,-1.15
1/3/2018,5:00,1.148,-,-0.35
1/3/2018,6:00,1.678,-,0.22
1/3/2018,7:00,1.759,-,0.61
1/3/2018,8:00,1.351,-,0.65
1/3/2018,9:00,0.552,-,0.15
1/3/2018,10:00,-0.485,-,-0.65
1/3/2018,11:00,-1.606,-,-1.41
1/3/2018,12:00,-2.662,-,-2.28
1/3/2018,13:00,-3.439,-,-3.09
1/3/2018,14:00,-3.697,-,-3.71
1/3/2018,15:00,-3.368,-,-3.75
1/3/2018,16:00,-2.59,-,-3.25
1/3/2018,17:00,-1.56,-,-2.34
1/3/2018,18:00,-0.506,-,-1.44
1/3/2018,19:00,0.314,-,-0.65
1/3/2018,20:00,0.732,-,-0.11
1/3/2018,21:00,0.735,-,0.06
1/3/2018,22:00,0.404,-,-0.04
1/3/2018,23:00,-0.138,-,-0.51
1/4/2018,0:00,-0.749,-,-1.1
1/4/2018,1:00,-1.245,-,-1.51
1/4/2018,2:00,-1.39,-,-1.66
1/4/2018,3:00,-1.063,-,-1.4
1/4/2018,4:00,-0.374,-,-0.91
1/4/2018,5:00,0.456,-,-0.32
1/4/2018,6:00,1.205,-,0.25
1/4/2018,7:00,1.646,-,0.69
1/4/2018,8:00,1.624,-,0.8
1/4/2018,9:00,1.145,-,0.5
1/4/2018,10:00,0.321,-,-0.08
1/4/2018,11:00,-0.702,-,-0.91
1/4/2018,12:00,-1.774,-,-1.74
1/4/2018,13:00,-2.731,-,-2.62
1/4/2018,14:00,-3.354,-,-3.33
1/4/2018,15:00,-3.446,-,-3.61
1/4/2018,16:00,-2.997,-,-3.25
1/4/2018,17:00,-2.171,-,-2.6
1/4/2018,18:00,-1.168,-,-1.69
1/4/2018,19:00,-0.22,-,-0.79
1/4/2018,20:00,0.443,-,-0.11
1/4/2018,21:00,0.71,-,0.37
1/4/2018,22:00,0.598,-,0.49
1/4/2018,23:00,0.187,-,0.19
1/5/2018,0:00,-0.392,-,-0.27
1/5/2018,1:00,-0.987,-,-0.75
1/5/2018,2:00,-1.408,-,-1.24
1/5/2018,3:00,-1.451,-,-1.44
1/5/2018,4:00,-1.046,-,-1.25
1/5/2018,5:00,-0.334,-,-0.9
1/5/2018,6:00,0.464,-,-0.21
1/5/2018,7:00,1.132,-,0.39
1/5/2018,8:00,1.467,-,0.79
1/5/2018,9:00,1.366,-,0.71
1/5/2018,10:00,0.859,-,0.28
1/5/2018,11:00,0.052,-,-0.49
1/5/2018,12:00,-0.91,-,-1.17
1/5/2018,13:00,-1.869,-,-1.94
1/5/2018,14:00,-2.666,-,-2.56
1/5/2018,15:00,-3.106,-,-3.03
1/5/2018,16:00,-3.037,-,-3.11
1/5/2018,17:00,-2.498,-,-2.74
1/5/2018,18:00,-1.67,-,-2.11
1/5/2018,19:00,-0.755,-,-1.25
1/5/2018,20:00,0.039,-,-0.48
1/5/2018,21:00,0.532,-,0.18
1/5/2018,22:00,0.652,-,0.47
1/5/2018,23:00,0.425,-,0.43
