DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
10/1/2018 0:00,4.6,29,6.3,27.7,1017.7,,
10/1/2018 1:00,5,33,6.5,27.3,1018.9,,
10/1/2018 2:00,5.9,38,8,27,1019.3,,
10/1/2018 3:00,7.7,45,9.4,26.8,1019.6,,
10/1/2018 4:00,7.5,51,9.1,26.4,1019.7,,
10/1/2018 5:00,7.2,54,8.2,26.4,1019.5,,
10/1/2018 6:00,5.6,46,7.1,25.9,1019.6,,
10/1/2018 7:00,3.4,29,5.3,25.1,1019.6,,
10/1/2018 8:00,3.8,24,5.3,24.7,1019.3,,
10/1/2018 9:00,4.6,33,6,24.3,1019,,
10/1/2018 10:00,7.7,51,9,24.9,1019.8,,
10/1/2018 11:00,6.7,43,8.2,24.7,1019.8,,
10/1/2018 12:00,5.6,46,6.7,24.9,1020.2,,
10/1/2018 13:00,7.1,57,9.3,25.3,1020.7,,
10/1/2018 14:00,7,58,8.1,26.1,1020.6,,
10/1/2018 15:00,7.9,69,9.4,27.6,1020.5,,
10/1/2018 16:00,5.8,73,7.9,28.5,1020.4,,
10/1/2018 17:00,7,56,8.7,29.3,1020,,
10/1/2018 18:00,6.5,70,7.4,30,1019.3,,
10/1/2018 19:00,6.4,59,8.7,30.5,1018.4,,
10/1/2018 20:00,8.8,45,9.9,30.1,1017.9,,
10/1/2018 21:00,8.4,55,9.8,30.1,1017.6,,
10/1/2018 22:00,8.6,51,10.2,30,1017.5,,
10/1/2018 23:00,6.5,41,9.4,28.5,1017.8,,
10/2/2018 0:00,6.6,34,8.8,27.3,1018.1,,
10/2/2018 1:00,5.5,37,7.9,26,1018.9,,
10/2/2018 2:00,7.9,47,9.1,25.4,1019.5,,
10/2/2018 3:00,6.4,53,8,25.1,1019.6,,
10/2/2018 4:00,7,51,7.9,24.7,1019.7,,
10/2/2018 5:00,6.2,43,7.4,24.5,1019.7,,
10/2/2018 6:00,6.3,43,7.8,24.9,1019.3,,
10/2/2018 7:00,4.1,33,5.3,24.5,1019.3,,
10/2/2018 8:00,6,39,7,24.6,1018.8,,
10/2/2018 9:00,5,38,6,24.6,1018.4,,
10/2/2018 10:00,5.4,40,6.6,24.8,1018.5,,
10/2/2018 11:00,5.7,50,6.3,24.9,1018.8,,
10/2/2018 12:00,5.8,40,6.9,24.9,1019.2,,
10/2/2018 13:00,4.8,33,7.1,25.3,1019.8,,
10/2/2018 14:00,5.4,39,6.3,26.5,1020.1,,
10/2/2018 15:00,6.3,66,7.2,27.6,1020,,
10/2/2018 16:00,4.9,73,6,28.4,1019.6,,
10/2/2018 17:00,3.2,70,3.9,29.1,1019.1,,
10/2/2018 18:00,1.4,94,2.6,29.8,1018.2,,
10/2/2018 19:00,1.3,127,1.6,30.1,1017.3,,
10/2/2018 20:00,9.4,49,10.9,28.3,1017.1,,
10/2/2018 21:00,6.2,103,7.3,27.9,1017,,
10/2/2018 22:00,7.6,59,8.6,28.8,1017,,
10/2/2018 23:00,5,40,6.5,27.8,1017.3,,
10/3/2018 0:00,3.8,26,5.9,27.2,1017.4,,
10/3/2018 1:00,6.4,49,7.4,27.2,1018.1,,
10/3/2018 2:00,7.9,57,8.6,26.7,1018.4,,
10/3/2018 3:00,5.4,62,6.2,26.5,1018.4,,
10/3/2018 4:00,6,52,7.3,26.1,1018.3,,
10/3/2018 5:00,5.9,49,6.7,25.4,1018,,
10/3/2018 6:00,5.8,58,7.1,25.6,1017.6,,
10/3/2018 7:00,5.1,53,6.2,25,1017.3,,
10/3/2018 8:00,5.9,53,6.6,24.6,1017.1,,
10/3/2018 9:00,4.7,47,5.7,24.5,1017.1,,
10/3/2018 10:00,4,42,5.4,24.2,1017.4,,
10/3/2018 11:00,3.8,31,4.8,23.3,1017.6,,
10/3/2018 12:00,4,29,5,23.4,1018,,
10/3/2018 13:00,3.6,30,4.4,24.6,1018.4,,
10/3/2018 14:00,4.6,43,5.4,25.7,1018.5,,
10/3/2018 15:00,4.3,66,5.8,26.7,1018.2,,
10/3/2018 16:00,4.8,79,5.7,27.5,1017.9,,
10/3/2018 17:00,2.9,103,3.5,28,1017.3,,
10/3/2018 18:00,1.5,156,2,28.7,1016.5,,
10/3/2018 19:00,3.9,94,4.3,29.6,1015.7,,
10/3/2018 20:00,4.1,128,4.9,29.6,1015.3,,
10/3/2018 21:00,1.5,153,2.1,29.6,1015.1,,
10/3/2018 22:00,2.3,268,2.9,30.5,1015.1,,
10/3/2018 23:00,5,52,5.9,30,1015.4,,
10/4/2018 0:00,5.5,48,6.2,28.9,1015.8,,
10/4/2018 1:00,6.8,57,8.4,28.2,1016.3,,
10/4/2018 2:00,7.6,62,9.3,27.2,1017.1,,
10/4/2018 3:00,8.3,67,9.5,26.8,1017.4,,
10/4/2018 4:00,7.1,63,8.3,25.9,1017.4,,
10/4/2018 5:00,6,60,7.3,25.6,1017.2,,
10/4/2018 6:00,6.1,66,6.8,25.5,1016.9,,
10/4/2018 7:00,5.2,57,6.1,24.9,1016.7,,
10/4/2018 8:00,5.1,56,5.8,24.3,1016.2,,
10/4/2018 9:00,4.9,50,5.7,24.5,1016.2,,
10/4/2018 10:00,4.3,41,5.2,24,1016.3,,
10/4/2018 11:00,4.5,46,5.2,24.6,1016.9,,
10/4/2018 12:00,3.3,30,4.4,24.3,1017.6,,
10/4/2018 13:00,5.3,49,6.4,25.3,1018.1,,
10/4/2018 14:00,5.4,48,6.3,26.2,1018.7,,
10/4/2018 15:00,4.8,48,5.4,27.1,1019,,
