DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
8/1/2018 0:00,3.3,181,4.2,27.1,1016.7,,
8/1/2018 1:00,3.3,193,3.9,27.7,1017.8,,
8/1/2018 2:00,1.8,218,2.7,27.9,1017.8,,
8/1/2018 3:00,1.4,134,1.9,27.7,1018,,
8/1/2018 4:00,5.6,120,6.2,27,1018.1,,
8/1/2018 5:00,6.1,102,6.7,26.8,1017.4,,
8/1/2018 6:00,6.1,98,7.4,26.2,1017.2,,
8/1/2018 7:00,5.3,124,6,26.6,1017.1,,
8/1/2018 8:00,6.8,121,7.8,26.6,1016.5,,
8/1/2018 9:00,6.4,123,7.4,26.8,1016.3,,
8/1/2018 10:00,7.5,130,9.1,26.8,1016.7,,
8/1/2018 11:00,6.6,130,8.3,26.7,1016.7,,
8/1/2018 12:00,7,133,8.4,27,1016.8,,
8/1/2018 13:00,7.1,144,8.9,27,1016.9,,
8/1/2018 14:00,6.2,152,8,27.5,1017.2,,
8/1/2018 15:00,6.4,159,8.3,28,1017.9,,
8/1/2018 16:00,6,158,8.3,28.1,1017.4,,
8/1/2018 17:00,6.6,168,8.2,28.5,1017.4,,
8/1/2018 18:00,6.3,186,7.6,28.8,1017,,
8/1/2018 19:00,4.5,289,5.3,25.3,1016.7,,
8/1/2018 20:00,2.1,292,2.8,25.7,1016,,
8/1/2018 21:00,1.9,282,2.9,27.2,1016,,
8/1/2018 22:00,0.7,235,0.9,28.6,1015.9,,
8/1/2018 23:00,1.8,234,2.1,27.6,1015.5,,
8/2/2018 0:00,1.3,134,1.6,27,1016.1,,
8/2/2018 1:00,2.8,91,3.7,26.9,1016.7,,
8/2/2018 2:00,1.5,113,2.1,26.9,1017.5,,
8/2/2018 3:00,3.2,82,3.6,27.1,1017.6,,
8/2/2018 4:00,6,105,6.8,27.1,1018.1,,
8/2/2018 5:00,4.1,125,4.5,27.5,1017.8,,
8/2/2018 6:00,7.2,146,8.6,27.5,1017.1,,
8/2/2018 7:00,4.6,144,5.3,27.4,1016.7,,
8/2/2018 8:00,4.9,136,6.2,27.3,1016.4,,
8/2/2018 9:00,5.4,137,6.5,27,1016.8,,
8/2/2018 10:00,4.5,181,5.9,27.3,1016.4,,
8/2/2018 11:00,4,144,5.1,27.4,1016.7,,
8/2/2018 12:00,5.6,132,6.4,27.4,1017.2,,
8/2/2018 13:00,6.3,135,7.3,27.3,1017.2,,
