DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
12/1/2018 0:00,2.5,43,2.7,18.7,1017.6,,
12/1/2018 1:00,3.5,44,3.7,18.3,1017.6,,
12/1/2018 2:00,3.7,55,3.8,17.4,1017.5,,
12/1/2018 3:00,4.7,81,5.1,16.7,1016.9,,
12/1/2018 4:00,4.9,82,5.4,16.6,1016.5,,
12/1/2018 5:00,5.1,102,5.8,17,1016.2,,
12/1/2018 6:00,4.3,105,5.1,16.8,1015.7,,
12/1/2018 7:00,4.6,104,5.1,16.8,1015.2,,
12/1/2018 8:00,4.7,92,5.2,16.8,1014.5,,
12/1/2018 9:00,4.3,85,4.6,16.6,1014.2,,
12/1/2018 10:00,4.6,81,5,16.4,1013.8,,
12/1/2018 11:00,4.4,76,4.9,16.6,1013.9,,
12/1/2018 12:00,2.8,18,4,17.7,1015,,
12/1/2018 13:00,6,78,6.7,17.6,1014.5,,
12/1/2018 14:00,6.3,93,7.3,16.7,1014.4,,
12/1/2018 15:00,7.2,100,8,17.3,1014.1,,
12/1/2018 16:00,6.6,110,7.6,17.6,1013.4,,
12/1/2018 17:00,5.2,111,6.2,17.5,1012.8,,
12/1/2018 18:00,3.4,117,3.9,17.1,1011.9,,
12/1/2018 19:00,2.2,95,2.4,17.5,1011.8,,
12/1/2018 20:00,5.4,191,7.1,18.9,1011.7,,
12/1/2018 21:00,,0,,,,,
12/1/2018 22:00,,0,,,,,
12/1/2018 23:00,8.7,170,11.1,20.9,1010.8,,
12/2/2018 0:00,7.4,164,9.4,20,1011.1,,
12/2/2018 1:00,8.9,170,11.2,20.7,1011.4,,
12/2/2018 2:00,8.6,168,10.8,20.4,1011.6,,
12/2/2018 3:00,8.4,172,10.6,20.6,1011.8,,
12/2/2018 4:00,7.6,166,9.1,19.7,1011.7,,
12/2/2018 5:00,6.1,167,7.1,19.4,1011.5,,
12/2/2018 6:00,6.2,168,7.5,19.4,1011.2,,
