DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
5/1/2018 0:00,1.2,328,2.1,25,1019.9,,
5/1/2018 1:00,6.1,66,6.7,25,1020.8,,
5/1/2018 2:00,9.5,70,10.5,23.6,1021.1,,
5/1/2018 3:00,10,82,11.7,22.6,1021.5,,
5/1/2018 4:00,9.6,86,11.4,21.9,1021.8,,
5/1/2018 5:00,6.4,70,7.8,20.8,1022,,
5/1/2018 6:00,5.9,75,7.3,19.9,1021.8,,
5/1/2018 7:00,6.4,75,7.3,19.5,1021.4,,
5/1/2018 8:00,6.1,66,7.2,19.3,1021.2,,
5/1/2018 9:00,5.8,68,6.7,18.9,1021.4,,
5/1/2018 10:00,5.4,77,6.5,19,1021.6,,
5/1/2018 11:00,5.1,70,6.4,19,1022.1,,
5/1/2018 12:00,4.5,72,5.5,19.1,1022.7,,
5/1/2018 13:00,5.2,70,6,19,1023,,
5/1/2018 14:00,4.1,82,5.2,20.6,1023.4,,
5/1/2018 15:00,3.5,90,4,21.9,1023.6,,
5/1/2018 16:00,3.3,106,4,23,1023.9,,
5/1/2018 17:00,0.4,88,1.2,24.1,1023.5,,
5/1/2018 18:00,3,226,3.2,23.7,1023.1,,
5/1/2018 19:00,3,243,3.3,24.7,1022.4,,
5/1/2018 20:00,,0,,,,,
5/1/2018 21:00,,0,,,,,
5/1/2018 22:00,,0,,,,,
5/1/2018 23:00,1.9,345,4.3,25.6,1020.4,,
5/2/2018 0:00,1.3,7,2.1,25.2,1020.7,,
5/2/2018 1:00,9.3,81,10.6,25.4,1021.3,,
5/2/2018 2:00,9.6,85,11.3,24.3,1022.4,,
5/2/2018 3:00,9.6,86,11.2,23.2,1023.3,,
5/2/2018 4:00,9.4,93,10.4,22.6,1023.6,,
5/2/2018 5:00,8.9,94,10.3,22,1023.4,,
5/2/2018 6:00,7.5,89,9,21.4,1023,,
5/2/2018 7:00,6.4,87,7.4,20.9,1022.8,,
5/2/2018 8:00,6,94,6.6,20.6,1022.9,,
5/2/2018 9:00,5.2,95,6.4,20.7,1022.8,,
5/2/2018 10:00,6.1,89,7.1,21,1022.6,,
5/2/2018 11:00,5.4,85,6,20.1,1023,,
5/2/2018 12:00,4.7,58,5.6,19.3,1023.8,,
5/2/2018 13:00,5,70,5.8,20.1,1024.3,,
5/2/2018 14:00,4.7,76,5.7,21.2,1024.3,,
5/2/2018 15:00,,0,,,,,
5/2/2018 16:00,,0,,,,,
5/2/2018 17:00,,0,,,,,
5/2/2018 18:00,,0,,,,,
5/2/2018 19:00,,0,,,,,
5/2/2018 20:00,2.9,258,3.7,25.2,1022,,
5/2/2018 21:00,,0,,,,,
5/2/2018 22:00,,0,,,,,
5/2/2018 23:00,3.9,312,5.4,24.6,1021.3,,
5/3/2018 0:00,1.3,36,3,24.2,1021.5,,
5/3/2018 1:00,9.2,68,10.4,25.1,1021.8,,
5/3/2018 2:00,9.8,67,11.4,23.8,1022.4,,
5/3/2018 3:00,10.6,77,12,22.8,1022.6,,
5/3/2018 4:00,10.1,80,11.8,22.1,1022.7,,
5/3/2018 5:00,7.8,72,9.1,21.3,1022.5,,
5/3/2018 6:00,5.8,71,7.2,21,1022.4,,
5/3/2018 7:00,5,66,5.9,20.5,1021.8,,
5/3/2018 8:00,4.9,59,5.2,19.8,1021.6,,
5/3/2018 9:00,4.8,58,5.7,19.6,1022,,
5/3/2018 10:00,4.7,70,5.4,19.5,1021.9,,
5/3/2018 11:00,4.1,44,5.3,18.9,1022.4,,
5/3/2018 12:00,5.4,63,6.1,19.6,1022.7,,
5/3/2018 13:00,4.3,65,5.3,21,1023.6,,
5/3/2018 14:00,4.3,72,5.1,21.8,1023.7,,
5/3/2018 15:00,4.8,86,5.7,22.4,1023.2,,
5/3/2018 16:00,4,84,5.5,23.4,1023.3,,
5/3/2018 17:00,,0,,,,,
5/3/2018 18:00,2,145,2.4,25,1022,,
5/3/2018 19:00,,0,,,,,
5/3/2018 20:00,4.9,259,5.8,25.3,1021.3,,
5/3/2018 21:00,4.2,296,5.8,25.2,1020.8,,
5/3/2018 22:00,4.1,290,5.5,25.1,1020.6,,
5/3/2018 23:00,4.3,310,6.4,24.3,1020.4,,
5/4/2018 0:00,3.3,321,5.9,23.9,1020.3,,
5/4/2018 1:00,1.5,18,3.1,23.2,1020.7,,
5/4/2018 2:00,7.5,63,8.9,24.5,1021.1,,
5/4/2018 3:00,9.5,84,11,23.8,1021.4,,
5/4/2018 4:00,9.6,85,11,23,1021.4,,
