DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
2/1/2018 0:00,2.6,329,3.2,13.3,1023.2,,
2/1/2018 1:00,1.7,341,3.2,13.1,1023.4,,
2/1/2018 2:00,2,23,2.4,12.4,1023.7,,
2/1/2018 3:00,3.5,89,3.9,13.7,1023.3,,
2/1/2018 4:00,4.8,94,5.7,13.1,1022.9,,
2/1/2018 5:00,4.7,99,5.2,12.8,1022.6,,
2/1/2018 6:00,4.6,108,5.5,12.8,1022.1,,
2/1/2018 7:00,4.3,107,4.9,12.5,1021.7,,
2/1/2018 8:00,3.2,112,3.7,12.4,1021.6,,
2/1/2018 9:00,3,110,3.6,12.5,1021.8,,
2/1/2018 10:00,1.8,44,2,11.5,1022.1,,
2/1/2018 11:00,1.4,33,1.8,10.4,1022.5,,
2/1/2018 12:00,2.8,55,3.1,10.6,1023,,
2/1/2018 13:00,2.6,50,3.2,10.3,1023.5,,
2/1/2018 14:00,2.7,46,3.2,10.9,1024,,
2/1/2018 15:00,1.8,52,2.1,12.2,1024.6,,
2/1/2018 16:00,0.9,67,1.4,13.4,1024.7,,
2/1/2018 17:00,0.3,273,0.7,16.8,1024,,
2/1/2018 18:00,2.2,261,2.9,16.3,1023.3,,
2/1/2018 19:00,1.6,275,2.2,17.4,1022.4,,
2/1/2018 20:00,1.9,107,2.1,15.8,1021.7,,
2/1/2018 21:00,1.7,136,2.1,15.8,1021.2,,
2/1/2018 22:00,0.9,193,1.2,17.8,1020.9,,
2/1/2018 23:00,1.4,215,1.7,15.2,1021,,
2/2/2018 0:00,2.9,202,3.8,15.3,1021.2,,
2/2/2018 1:00,1.8,225,2.2,15,1021.5,,
2/2/2018 2:00,1,256,1.3,14.7,1021.7,,
2/2/2018 3:00,1,76,1.3,14.4,1021.3,,
2/2/2018 4:00,0.5,107,0.9,13.8,1021.3,,
2/2/2018 5:00,0.5,173,0.6,13.8,1021.4,,
2/2/2018 6:00,0.4,221,0.7,13.8,1020.9,,
2/2/2018 7:00,0.9,165,1.3,13.9,1020.8,,
2/2/2018 8:00,1.3,166,1.7,13.9,1020.8,,
2/2/2018 9:00,0.1,205,0.4,14.2,1021.2,,
2/2/2018 10:00,1.6,172,3.4,14.6,1020.8,,
2/2/2018 11:00,3.3,162,3.8,14.4,1020.6,,
2/2/2018 12:00,1.9,197,2.4,14.4,1021.1,,
2/2/2018 13:00,0.9,222,1.5,14.3,1021.7,,
