DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
2/1/2019 0:00,6.5,59,7.5,12.9,1024.5,,
2/1/2019 1:00,6,53,7.7,12.3,1024.8,,
2/1/2019 2:00,6.8,61,8.5,11.7,1025,,
2/1/2019 3:00,8,59,9.1,11.3,1024.6,,
2/1/2019 4:00,7.3,57,10.2,11,1024.5,,
2/1/2019 5:00,7.9,54,9.3,10.7,1023.7,,
2/1/2019 6:00,7.2,45,8.8,10.6,1023.9,,
2/1/2019 7:00,7.5,48,8.6,10.6,1023.2,,
2/1/2019 8:00,7.5,45,8.9,10.6,1022.5,,
2/1/2019 9:00,7.7,46,8.5,10.7,1022.3,,
2/1/2019 10:00,5.6,44,6.4,11,1022.6,,
2/1/2019 11:00,5.8,46,6.6,11.3,1022.6,,
2/1/2019 12:00,5.5,41,6.9,11.4,1023,,
2/1/2019 13:00,6.1,43,7.1,11.5,1023,,
2/1/2019 14:00,5.5,45,6.5,12,1023.8,,
2/1/2019 15:00,4.9,50,5.3,12.5,1024.2,,
2/1/2019 16:00,4.3,54,5,12.9,1024.1,,
2/1/2019 17:00,,0,,,,,
2/1/2019 18:00,3.9,77,4.2,14.2,1022.2,,
2/1/2019 19:00,6,58,6.1,16.9,1021.1,,
2/1/2019 20:00,3.2,34,4.1,19.2,1020.9,,
2/1/2019 21:00,2.9,23,3.8,20.2,1020.8,,
2/1/2019 22:00,3.4,30,4.8,19.7,1020.5,,
2/1/2019 23:00,3.3,27,4.7,19.1,1021,,
2/2/2019 0:00,4.7,32,6.1,18.2,1021,,
2/2/2019 1:00,4.3,41,5.3,16.3,1021.4,,
2/2/2019 2:00,5,42,5.5,15.6,1021.7,,
2/2/2019 3:00,4.7,50,5.1,14.8,1022,,
2/2/2019 4:00,5.2,42,6.2,15.2,1021.9,,
2/2/2019 5:00,5.1,42,5.6,14.9,1021.7,,
2/2/2019 6:00,5.1,47,5.5,14.1,1021.3,,
2/2/2019 7:00,5.2,45,5.7,14,1020.7,,
2/2/2019 8:00,5,52,5.5,14,1020.1,,
2/2/2019 9:00,4.7,48,5.5,14.3,1020.1,,
2/2/2019 10:00,5.2,44,5.7,14.8,1020,,
2/2/2019 11:00,6.6,42,7.3,15,1019.6,,
2/2/2019 12:00,4.6,32,9.3,16.5,1020.6,,
2/2/2019 13:00,6.4,58,6.9,15.8,1020.3,,
2/2/2019 14:00,4.5,45,4.8,15.1,1020.5,,
2/2/2019 15:00,4.7,57,5.1,15.8,1020.8,,
2/2/2019 16:00,3.7,52,4.5,15.7,1021.1,,
2/2/2019 17:00,2.8,52,4.2,15.4,1020.3,,
2/2/2019 18:00,2.3,57,2.6,16.6,1019.6,,
2/2/2019 19:00,3.2,61,3.5,17,1018.6,,
2/2/2019 20:00,3,44,3.3,19.3,1018.1,,
2/2/2019 21:00,3.8,44,4,20.1,1017.5,,
2/2/2019 22:00,4.1,46,4.5,19,1017.3,,
2/2/2019 23:00,3.7,40,4.7,18.9,1017.1,,
2/3/2019 0:00,2.6,48,3.2,18.6,1017.2,,
2/3/2019 1:00,3.8,41,4.2,18.4,1017.2,,
2/3/2019 2:00,2.4,59,2.9,16.6,1017.7,,
2/3/2019 3:00,1.4,88,1.5,17.5,1018.1,,
2/3/2019 4:00,3.4,66,3.8,16.1,1017.7,,
2/3/2019 5:00,4.1,68,4.5,15.6,1017.2,,
2/3/2019 6:00,4.2,62,4.4,15.4,1016.6,,
2/3/2019 7:00,3.7,61,3.8,15.4,1016.3,,
2/3/2019 8:00,4.3,59,4.6,16,1015.6,,
2/3/2019 9:00,4.2,69,4.6,15.6,1015.2,,
2/3/2019 10:00,4,60,4.4,15.3,1015,,
2/3/2019 11:00,3,74,3.1,15,1015,,
2/3/2019 12:00,2,80,2.1,14.6,1015.6,,
2/3/2019 13:00,1.2,89,2,14.4,1015.7,,
2/3/2019 14:00,2.2,116,2.3,14.5,1016.1,,
2/3/2019 15:00,0.8,82,1.4,14.5,1016.5,,
2/3/2019 16:00,1.5,137,2,15.4,1016.8,,
2/3/2019 17:00,0.8,109,0.8,15.6,1016.4,,
2/3/2019 18:00,2.1,206,2.2,15.9,1016,,
2/3/2019 19:00,1.6,225,1.7,15.8,1015,,
2/3/2019 20:00,1.8,324,2.3,17.6,1014.7,,
