DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
9/1/2017 0:00,4.1,227,5.3,30,1014.7,,
9/1/2017 1:00,4.4,232,5.1,30,1015.3,,
9/1/2017 2:00,2.8,265,3.9,30.1,1016,,
9/1/2017 3:00,1.3,299,1.9,29.6,1015.4,,
9/1/2017 4:00,1.6,248,2.2,29.6,1015.4,,
9/1/2017 5:00,2.6,202,2.8,29.6,1015.4,,
9/1/2017 6:00,1.8,159,2.2,29.5,1015.3,,
9/1/2017 7:00,6.6,132,7.9,27.9,1015,,
9/1/2017 8:00,7.3,129,8.2,28.5,1014.4,,
9/1/2017 9:00,5.6,140,6.6,28,1014.3,,
9/1/2017 10:00,4.6,162,5.6,28.3,1014.8,,
9/1/2017 11:00,4.3,167,5.6,28.3,1015.1,,
9/1/2017 12:00,4.6,171,5.7,28.9,1015.7,,
9/1/2017 13:00,4.5,167,7,29.2,1016.1,,
9/1/2017 14:00,4.9,170,6.2,29.3,1016.5,,
9/1/2017 15:00,4.6,190,6.8,28.6,1016.2,,
9/1/2017 16:00,4.7,266,8.5,26.4,1016.7,,
9/1/2017 17:00,0.5,266,1.7,26.6,1016.3,,
9/1/2017 18:00,2.4,114,2.8,27.4,1015.9,,
9/1/2017 19:00,3.5,199,4.5,28.9,1015.1,,
9/1/2017 20:00,3.8,232,5.4,29.9,1014.3,,
9/1/2017 21:00,4.3,218,5.1,30,1014.1,,
9/1/2017 22:00,4.2,238,4.8,30.2,1014.1,,
9/1/2017 23:00,4.6,238,6.1,29.8,1014.7,,
9/2/2017 0:00,4.1,243,7.5,28.9,1015.1,,
9/2/2017 1:00,7.5,228,8.7,28.1,1016.7,,
9/2/2017 2:00,11.3,249,13.1,26.7,1016.6,,
9/2/2017 3:00,6.2,282,8.5,26.4,1017.1,,
9/2/2017 4:00,1.4,77,1.7,26.7,1017.7,,
9/2/2017 5:00,3.9,46,4.6,25.9,1017.7,,
9/2/2017 6:00,4.4,72,5.4,25.3,1016.5,,
9/2/2017 7:00,3.8,88,4.8,25.4,1015.4,,
9/2/2017 8:00,3.2,98,4,26.1,1014.7,,
9/2/2017 9:00,1.1,353,1.8,24.5,1014.7,,
9/2/2017 10:00,1,80,1.3,24.9,1015,,
9/2/2017 11:00,2.4,59,2.8,25.4,1016.1,,
9/2/2017 12:00,2.2,130,3.4,26.2,1016.6,,
9/2/2017 13:00,3.5,120,4.1,26.7,1017.3,,
9/2/2017 14:00,2.8,160,4,26.2,1017.7,,
9/2/2017 15:00,3.1,165,4.8,26.2,1018.2,,
9/2/2017 16:00,3.8,136,5.2,26.5,1017.7,,
9/2/2017 17:00,3.2,118,4.7,26.2,1017.6,,
9/2/2017 18:00,3.7,106,4.4,26,1017.6,,
9/2/2017 19:00,2.7,110,4.1,26.1,1017.3,,
