DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
1/1/2019 0:00,3.5,201,4,20.6,1019.5,,
1/1/2019 1:00,3,203,3.5,20.3,1019.8,,
1/1/2019 2:00,4.8,188,6.2,20.7,1019.7,,
1/1/2019 3:00,4.7,196,5.9,20.1,1019.7,,
1/1/2019 4:00,4.1,197,4.6,20.1,1019.6,,
1/1/2019 5:00,4.7,214,5.5,20.4,1019.6,,
1/1/2019 6:00,3,226,3.5,19.6,1019.6,,
1/1/2019 7:00,2.4,171,3.1,19.5,1019.7,,
1/1/2019 8:00,3.3,150,4.3,19.1,1019.4,,
1/1/2019 9:00,2.2,163,3,19.4,1019.2,,
1/1/2019 10:00,2.7,155,3.4,19.4,1019.2,,
1/1/2019 11:00,2.8,159,3.6,19.5,1019.6,,
1/1/2019 12:00,2.9,154,3.9,19.7,1020,,
1/1/2019 13:00,3.3,156,4.3,19.9,1020.6,,
1/1/2019 14:00,3.1,145,3.9,20.2,1021.2,,
1/1/2019 15:00,2,129,2.4,20.2,1021.8,,
1/1/2019 16:00,1.7,128,2.1,20.5,1021.9,,
1/1/2019 17:00,3,166,4.1,20.9,1021.3,,
1/1/2019 18:00,,0,,,,,
1/1/2019 19:00,3.3,187,5,21.7,1019.8,,
1/1/2019 20:00,3.4,183,4.7,21.5,1019.8,,
1/1/2019 21:00,,0,,,,,
1/1/2019 22:00,2.7,239,3.5,21.5,1020,,
1/1/2019 23:00,3.4,286,4.8,20.4,1020.6,,
1/2/2019 0:00,1.3,309,2,19.4,1021.1,,
1/2/2019 1:00,0,112,0.6,19.1,1021,,
1/2/2019 2:00,1.6,288,2,19,1021.2,,
1/2/2019 3:00,0.9,279,1.3,18.8,1021,,
1/2/2019 4:00,0.8,320,1.1,18.5,1020.8,,
1/2/2019 5:00,1.4,5,2.6,18.3,1020.6,,
1/2/2019 6:00,2.1,54,2.5,18.6,1020.4,,
1/2/2019 7:00,2.5,97,2.7,18.3,1020.4,,
1/2/2019 8:00,2.5,96,3,18.2,1020.2,,
1/2/2019 9:00,2,79,2.3,18.5,1020,,
1/2/2019 10:00,2.4,104,2.8,18.9,1020,,
1/2/2019 11:00,0.9,8,2.1,18.2,1020.6,,
1/2/2019 12:00,0.7,348,1.1,17.7,1021.1,,
1/2/2019 13:00,1.4,80,1.8,17.9,1021.6,,
1/2/2019 14:00,2.5,93,3,19.4,1021.9,,
1/2/2019 15:00,2.1,75,2.7,20.5,1022.2,,
1/2/2019 16:00,0.8,89,1.1,21.5,1021.9,,
1/2/2019 17:00,0,163,0.3,22.1,1021.1,,
1/2/2019 18:00,0.9,77,1.1,22.7,1020.3,,
1/2/2019 19:00,1.6,123,2.4,22.1,1019.4,,
1/2/2019 20:00,2.1,228,3,21.9,1019,,
1/2/2019 21:00,3.9,256,4.4,21.7,1018.8,,
1/2/2019 22:00,2.2,278,3.1,21.2,1018.2,,
1/2/2019 23:00,1.3,264,1.7,20.5,1018.2,,
1/3/2019 0:00,0.7,209,0.8,20.7,1018.1,,
1/3/2019 1:00,1,290,1.9,20.2,1018.5,,
1/3/2019 2:00,0.6,8,1.2,20.4,1018.7,,
1/3/2019 3:00,1.7,86,1.8,20.3,1018.3,,
1/3/2019 4:00,1.8,109,2.6,20.4,1017.1,,
1/3/2019 5:00,3.2,125,4.9,20.1,1016.5,,
1/3/2019 6:00,2.5,148,3,19.9,1016.2,,
1/3/2019 7:00,1.5,168,2.1,20.1,1017,,
1/3/2019 8:00,1.5,189,2.2,20.3,1017,,
1/3/2019 9:00,2.7,158,3.5,20.2,1016.3,,
1/3/2019 10:00,3.6,146,4.3,20.2,1016.3,,
1/3/2019 11:00,3,144,3.4,20,1016.6,,
1/3/2019 12:00,3.4,152,4.6,20.2,1017.2,,
1/3/2019 13:00,2.9,150,3.8,20.3,1018.1,,
1/3/2019 14:00,4.1,170,5.3,21.1,1018.2,,
1/3/2019 15:00,4.7,144,5.3,20.7,1018.4,,
1/3/2019 16:00,4.8,168,5.8,20.7,1017.9,,
1/3/2019 17:00,5.1,174,6.3,19.9,1017.2,,
1/3/2019 18:00,4.4,186,6,19.8,1016.2,,
1/3/2019 19:00,4.5,186,5.4,19.7,1015.6,,
1/3/2019 20:00,4.5,203,5,19.5,1015.7,,
1/3/2019 21:00,,0,,,,,
1/3/2019 22:00,3.4,194,4.6,19.6,1015.4,,
1/3/2019 23:00,4.6,176,6.2,19.3,1015.5,,
1/4/2019 0:00,2.1,116,2.9,19.2,1015.8,,
1/4/2019 1:00,3.4,161,4,18.7,1015.8,,
1/4/2019 2:00,2.1,185,2.8,18.5,1015.9,,
1/4/2019 3:00,1.9,170,2.4,18.5,1015.6,,
1/4/2019 4:00,2.1,153,2.7,18.3,1015.1,,
1/4/2019 5:00,2.2,159,2.8,18.1,1015,,
1/4/2019 6:00,3.3,160,3.7,18.3,1014.5,,
1/4/2019 7:00,3,161,3.7,18.3,1014.3,,
1/4/2019 8:00,3.8,158,6,18.4,1014.1,,
1/4/2019 9:00,4.9,167,6.4,18.3,1013.8,,
1/4/2019 10:00,6.4,157,7.5,18.6,1012.5,,
1/4/2019 11:00,6.9,165,8.6,19,1012.3,,
1/4/2019 12:00,7.9,164,9.6,19.8,1011.9,,
1/4/2019 13:00,7.9,167,10,20.7,1012.7,,
1/4/2019 14:00,7.6,170,9.5,20.8,1012.6,,
1/4/2019 15:00,6.5,172,9.4,20.7,1013.4,,
1/4/2019 16:00,10.1,176,13.2,20.5,1012.8,,
1/4/2019 17:00,8.4,177,11.1,20.6,1011.8,,
1/4/2019 18:00,10.6,170,12.5,20.3,1009.9,,
1/4/2019 19:00,7.7,287,10.4,17.3,1011.7,,
1/4/2019 20:00,9.4,273,11.1,15.5,1012.4,,
1/4/2019 21:00,6.9,269,9,13.5,1012.3,,
1/4/2019 22:00,7,259,9.3,16.8,1011.6,,
1/4/2019 23:00,7.5,222,8.9,17.8,1011.9,,
1/5/2019 0:00,8.1,220,9.4,18.1,1012.1,,
1/5/2019 1:00,8.9,229,9.9,18.5,1012.5,,
1/5/2019 2:00,8.8,247,9.9,18.6,1012.9,,
1/5/2019 3:00,9.9,258,12.5,18.5,1013.1,,
1/5/2019 4:00,10.4,259,12,18,1013.3,,
1/5/2019 5:00,11.6,267,14.3,17.9,1013.1,,
1/5/2019 6:00,10.4,271,13.5,17.9,1013.3,,
1/5/2019 7:00,7.6,278,9.4,17.6,1013.2,,
1/5/2019 8:00,8.6,282,12.6,17.4,1012.8,,
1/5/2019 9:00,6.8,285,9.3,17,1013.1,,
1/5/2019 10:00,6.7,286,9.8,16.7,1013.3,,
1/5/2019 11:00,5.6,314,7.5,15,1013.9,,
1/5/2019 12:00,3.5,317,5.8,13.6,1015.2,,
1/5/2019 13:00,5.1,305,8.4,13.8,1016.2,,
1/5/2019 14:00,5.3,304,10.1,13,1017.4,,
1/5/2019 15:00,4.8,297,7.7,14,1017.9,,
1/5/2019 16:00,7.2,311,11.6,13.3,1018.2,,
1/5/2019 17:00,5.7,306,8.1,12.4,1017.6,,
1/5/2019 18:00,3.9,298,8,12.3,1016.9,,
1/5/2019 19:00,5.9,300,8.7,11.9,1016.8,,
1/5/2019 20:00,,0,,,,,
1/5/2019 21:00,,0,,,,,
1/5/2019 22:00,4.1,290,6,14.1,1017.3,,
1/5/2019 23:00,4.1,300,5.8,13.2,1018,,
1/6/2019 0:00,2.3,300,4.8,13.4,1018.6,,
1/6/2019 1:00,2,315,2.9,13.4,1019.1,,
1/6/2019 2:00,1.7,333,3.2,13.1,1019.2,,
1/6/2019 3:00,1.1,336,2.3,12.7,1019.4,,
1/6/2019 4:00,0.5,330,1.3,12.2,1019.3,,
1/6/2019 5:00,0.1,331,0.9,12.3,1019,,
1/6/2019 6:00,1,327,1.3,12.1,1019.1,,
1/6/2019 7:00,0.8,312,1,12,1019.4,,
1/6/2019 8:00,1.6,324,2.2,12.2,1019.8,,
1/6/2019 9:00,2.4,330,3.5,11.9,1020.4,,
1/6/2019 10:00,2.7,323,3.7,11.6,1020.4,,
1/6/2019 11:00,2.3,327,3.8,11.3,1020.6,,
1/6/2019 12:00,1.7,336,2.9,10.5,1020.6,,
1/6/2019 13:00,1,334,2.6,11.6,1020.8,,
1/6/2019 14:00,1.9,329,2.9,13,1021.4,,
1/6/2019 15:00,1,357,2.8,15.3,1022.4,,
1/6/2019 16:00,1.6,56,2.3,15.7,1022.5,,
1/6/2019 17:00,2.1,225,2.7,15.5,1021.6,,
1/6/2019 18:00,2.5,245,3.3,16.2,1020.6,,
1/6/2019 19:00,3.4,235,3.8,15.7,1020.1,,
1/6/2019 20:00,3.4,228,3.9,16.2,1019.8,,
1/6/2019 21:00,3.5,244,4.1,16.8,1019.9,,
1/6/2019 22:00,3.4,267,4.2,17.4,1020.3,,
1/6/2019 23:00,,0,,,,,
1/7/2019 0:00,2.2,290,2.7,15.1,1020.8,,
1/7/2019 1:00,2.1,299,2.9,14.9,1021.5,,
1/7/2019 2:00,2,312,2.7,14.6,1021.9,,
1/7/2019 3:00,1.1,335,3.2,14.2,1022.3,,
1/7/2019 4:00,2.2,339,3.2,14.1,1022.3,,
1/7/2019 5:00,1.2,8,1.5,13.8,1021.8,,
