DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
3/1/2018 0:00,4.1,226,4.8,22.5,1017.3,,
3/1/2018 1:00,5,217,5.8,22.4,1016.9,,
3/1/2018 2:00,5.3,216,5.7,22.2,1017.1,,
3/1/2018 3:00,5.1,223,6,22.1,1017.2,,
3/1/2018 4:00,4.6,216,5.4,22,1016.4,,
3/1/2018 5:00,4.8,205,5.8,21.8,1015.9,,
3/1/2018 6:00,4.1,198,5.1,21.9,1015.7,,
3/1/2018 7:00,5.7,204,6.8,21.8,1015.3,,
3/1/2018 8:00,4.6,192,6.2,21.9,1014.7,,
3/1/2018 9:00,4.7,187,5.9,21.7,1014.5,,
3/1/2018 10:00,4.8,183,6.4,22,1014.4,,
3/1/2018 11:00,5.3,178,6.7,22,1014.5,,
3/1/2018 12:00,5.5,186,7.1,22.1,1014.7,,
3/1/2018 13:00,5.9,180,7.4,22.4,1015.2,,
3/1/2018 14:00,5.8,186,8,22.4,1015.5,,
3/1/2018 15:00,7.5,193,9.1,22.4,1015.9,,
3/1/2018 16:00,7,194,9.3,22.4,1016.6,,
3/1/2018 17:00,8.3,192,9.5,22.5,1016.5,,
3/1/2018 18:00,7.7,195,9.3,22.6,1015.7,,
3/1/2018 19:00,7.7,195,8.8,22.7,1015.1,,
3/1/2018 20:00,8.4,199,10.1,22.7,1014.8,,
3/1/2018 21:00,8.5,208,9.7,23,1014.7,,
3/1/2018 22:00,8.8,203,9.7,23,1014.3,,
3/1/2018 23:00,8.1,220,9.6,23,1014.7,,
3/2/2018 0:00,8.4,231,9.9,23,1014.9,,
3/2/2018 1:00,8.5,236,9.5,23,1015.1,,
3/2/2018 2:00,7.6,241,9.3,23,1015.4,,
3/2/2018 3:00,7.2,249,8.8,22.7,1015.8,,
3/2/2018 4:00,7.5,243,8.5,22.6,1015.7,,
3/2/2018 5:00,8.1,250,9.4,22.4,1015.9,,
3/2/2018 6:00,3.8,301,6.4,21.9,1016,,
3/2/2018 7:00,1.6,0,2.7,20.4,1016.1,,
3/2/2018 8:00,3.4,329,6.5,20.1,1016.2,,
3/2/2018 9:00,2.6,343,5.8,19,1016.4,,
3/2/2018 10:00,2.8,343,5.5,18.2,1016.7,,
3/2/2018 11:00,3.4,341,6,17.7,1017.4,,
3/2/2018 12:00,2.4,340,5.4,17.4,1018.3,,
