DATE TIME, WINDSPEED, DIR, GUSTS, AT, BARO, RELHUM, VIS
4/1/2019 0:00,6.1,247,8.1,20.9,1016.3,,
4/1/2019 1:00,7.7,259,9.5,20.5,1016.8,,
4/1/2019 2:00,4.7,195,5.9,19.9,1016.7,,
4/1/2019 3:00,2.9,222,3.2,19.9,1016.5,,
4/1/2019 4:00,5.1,248,6.7,19.9,1016.9,,
4/1/2019 5:00,6.5,245,7.1,19.8,1016.8,,
4/1/2019 6:00,3.8,12,6.3,16.7,1016.8,,
4/1/2019 7:00,4.8,20,7,16,1016.5,,
4/1/2019 8:00,6.1,33,8,15.3,1015.7,,
4/1/2019 9:00,2.4,11,4.1,14.4,1016.7,,
4/1/2019 10:00,6.4,24,10.6,13,1016.1,,
4/1/2019 11:00,6.6,29,8.9,12.3,1017.2,,
4/1/2019 12:00,5.3,30,7.5,11.7,1018.3,,
4/1/2019 13:00,8.3,44,11.2,12.3,1019,,
4/1/2019 14:00,7.3,43,8.7,12.1,1019.6,,
4/1/2019 15:00,6.4,44,7.3,12.3,1020.3,,
4/1/2019 16:00,6.7,68,8,12.6,1019.7,,
4/1/2019 17:00,6.3,60,7.1,13.4,1019.4,,
4/1/2019 18:00,7.3,60,9.3,14.6,1019.2,,
4/1/2019 19:00,6.8,67,8.2,15.3,1018.1,,
4/1/2019 20:00,6,38,7.3,15,1017.5,,
4/1/2019 21:00,6.2,47,6.6,15.4,1017.1,,
4/1/2019 22:00,6.1,50,7.1,15.6,1016.9,,
4/1/2019 23:00,5.1,34,6.4,15.6,1017,,
4/2/2019 0:00,4.1,27,5.5,15.6,1017.5,,
4/2/2019 1:00,5,36,6.6,15.8,1017.9,,
4/2/2019 2:00,5.7,43,7.7,15.5,1018.5,,
4/2/2019 3:00,6.5,50,7.9,14.9,1019.2,,
4/2/2019 4:00,7.4,63,8.6,14.8,1018.7,,
4/2/2019 5:00,4.9,66,6.8,15,1018.4,,
4/2/2019 6:00,6.1,79,7.4,15.4,1016.9,,
4/2/2019 7:00,5.3,59,6.3,15.3,1016.7,,
4/2/2019 8:00,3.1,32,3.9,14.5,1016.5,,
4/2/2019 9:00,3.8,51,4.9,14.7,1016.2,,
4/2/2019 10:00,3.9,70,4.4,15.2,1015.7,,
4/2/2019 11:00,3.3,335,6.3,14.8,1017.1,,
4/2/2019 12:00,2.6,18,3.5,13.7,1017.4,,
4/2/2019 13:00,1.7,29,2.5,14.3,1017.9,,
4/2/2019 14:00,0.9,68,1.1,15.6,1018.2,,
4/2/2019 15:00,4.3,320,6.4,16.2,1018.9,,
4/2/2019 16:00,3.7,317,5.1,16.6,1019,,
4/2/2019 17:00,2.9,315,4.5,17.7,1018.6,,
4/2/2019 18:00,5,273,6.9,17.7,1018.4,,
4/2/2019 19:00,5.9,272,6.8,17.6,1018,,
4/2/2019 20:00,6.4,285,8,17.9,1017.5,,
4/2/2019 21:00,5.2,290,8.3,18.2,1017.5,,
4/2/2019 22:00,5.3,293,8.1,18.5,1017.7,,
4/2/2019 23:00,3.3,290,5.8,18.6,1017.9,,
4/3/2019 0:00,3.2,306,4,17.6,1018.6,,
4/3/2019 1:00,1.2,339,2.2,17.5,1019.6,,
4/3/2019 2:00,2,332,3.3,16.9,1020.7,,
4/3/2019 3:00,1,344,1.7,16.4,1021.2,,
4/3/2019 4:00,2.6,14,3.7,16.5,1021.9,,
4/3/2019 5:00,5,35,6.7,15,1022.2,,
4/3/2019 6:00,6.3,44,8.2,15.1,1022.4,,
